Interval, Utilization, StdDev
0, 95.6303, nan, 
10, 85.8501, nan, 
20, 15.17, nan, 
30, 0, nan, 
40, 0, nan, 
50, 0, nan, 
60, 0, nan, 
70, 0, nan, 
80, 0, nan, 
90, 0, nan, 
