Interval,Run 0,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30,Run 31,Run 32,Run 33,Run 34,Run 35,Run 36,Run 37,Run 38,Run 39,Run 40,Run 41,Run 42,Run 43,Run 44,Run 45,Run 46,Run 47,Run 48,Run 49,Run 50,Run 51,Run 52,Run 53,Run 54,Run 55,Run 56,Run 57,Run 58,Run 59,Run 60,Run 61,Run 62,Run 63,Run 64,Run 65,Run 66,Run 67,Run 68,Run 69,Run 70,Run 71,Run 72,Run 73,Run 74,Run 75,Run 76,Run 77,Run 78,Run 79,Run 80,Run 81,Run 82,Run 83,Run 84,Run 85,Run 86,Run 87,Run 88,Run 89,Run 90,Run 91,Run 92,Run 93,Run 94,Run 95,Run 96,Run 97,Run 98,Run 99,Mean, StdDev
0, 30.7448, 43.1083, 39.9802, 37.825, 33.6565, 33.0109, 42.9304, 36.2737, 24.925, 24.6381, 35.3817, 37.4138, 37.4942, 32.358, 37.8866, 42.0973, 31.6576, 45.2354, 30.9473, 34.722, 33.143, 41.7852, 40.6963, 36.0143, 20.3022, 37.4963, 38.0906, 29.5605, 27.3257, 31.1503, 45.3953, 49.892, 34.4702, 45.2655, 37.2682, 36.3767, 44.6606, 30.6956, 43.8644, 42.0835, 41.9658, 40.9589, 36.4732, 45.4405, 32.5932, 43.6448, 36.0878, 44.7405, 35.9876, 44.2242, 41.4602, 39.0909, 44.8021, 41.1416, 46.4164, 46.8653, 42.3096, 30.3026, 47.1546, 32.9407, 33.5632, 36.2808, 39.5009, 46.0158, 33.9314, 39.3855, 44.1493, 37.1958, 38.2252, 42.1978, 46.4886, 41.5885, 42.9492, 28.2573, 39.2015, 33.788, 41.5009, 44.4409, 37.2516, 39.5252, 39.1239, 42.6262, 36.1603, 40.1679, 44.5171, 44.4823, 40.074, 36.0302, 30.6005, 28.1983, 40.973, 31.3062, 31.4264, 36.8676, 37.1598, 39.8142, 39.5141, 42.0186, 22.316, 38.501, 37.9974, 5.90024, 
30, 0, 0, 0, 1.85971, 1.80735, 1.71481, 0, 0, 4.80352, 1.35745, 0, 0, 0, 0.586262, 5.41945, 0, 1.20854, 0, 4.7628, 1.85982, 2.75956, 0, 0, 0, 0, 0, 0, 0, 5.89506, 3.68842, 0, 2.92048, 2.58166, 3.14347, 0.394891, 3.11138, 2.62597, 0, 0, 0, 2.8113, 0, 0, 1.00609, 4.14979, 0, 1.4173, 0.930195, 0, 3.5137, 0, 5.69558, 3.19034, 2.08296, 0, 0.522143, 0.327485, 0.576814, 0, 0, 0, 3.49567, 0, 0, 0, 1.64675, 0, 0, 0.00616709, 0, 0, 0, 2.46134, 4.07275, 0, 0, 0, 0, 0, 1.86474, 0, 3.47219, 0, 0, 0, 0, 3.40558, 2.78134, 0, 0.172405, 2.43871, 0, 5.68688, 0, 3.09692, 2.3371, 0.464751, 0, 6.26863, 1.21361, 1.2361, 1.7195, 
60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
