 Task Type,Run 0,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30,Run 31,Run 32,Run 33,Run 34,Run 35,Run 36,Run 37,Run 38,Run 39,Run 40,Run 41,Run 42,Run 43,Run 44,Run 45,Run 46,Run 47,Run 48,Run 49,Run 50,Run 51,Run 52,Run 53,Run 54,Run 55,Run 56,Run 57,Run 58,Run 59,Run 60,Run 61,Run 62,Run 63,Run 64,Run 65,Run 66,Run 67,Run 68,Run 69,Run 70,Run 71,Run 72,Run 73,Run 74,Run 75,Run 76,Run 77,Run 78,Run 79,Run 80,Run 81,Run 82,Run 83,Run 84,Run 85,Run 86,Run 87,Run 88,Run 89,Run 90,Run 91,Run 92,Run 93,Run 94,Run 95,Run 96,Run 97,Run 98,Run 99,Mean, StdDev,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVG WAIT TIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0 (Comm),1.34325,1.84673,2.8996,2.44317,4.03425,1.99845,2.38461,1.94775,4.25892,1.85161,6.55882,1.05499,0.546518,2.72107,4.40179,3.25768,1.48006,2.55262,3.38076,1.68622,0.177333,0.165618,1.28402,0.314534,0.875641,0.869255,0.892922,0.980905,1.6533,0.505695,2.33232,0.168264,2.55607,2.32687,1.76937,1.11726,1.38783,3.96005,1.66507,4.27899,1.7782,4.66707,0.0673809,5.27024,1.31758,0.738801,2.3515,3.97341,3.67737,3.99483,0,3.47951,1.31865,0.118048,0.00101256,2.81612,2.5695,1.78081,3.51459,1.38574,0.754962,2.56692,2.43496,1.59947,1.22777,2.47516,1.48512,1.31966,0.119419,0.516096,1.33905,0.694832,2.18357,1.05029,1.09368,1.18398,0.254545,1.10701,4.3986,2.12692,4.09678,3.92222,3.21691,1.15159,3.42644,2.35623,1.81532,2.40241,0.175778,1.56932,0.26285,3.18122,1.32941,1.516,1.98717,2.24831,0.874128,0.194725,0.712414,1.29128,1.944130665,1.342733672, 
1 (Except),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
2 (Paper),1.17827,2.44142,0.762119,2.11155,4.83888,1.2835,3.34718,1.36359,1.06916,3.98547,2.0828,2.09811,4.39528,1.09444,1.74155,2.73456,3.02968,0.520887,6.06901,1.95425,1.55475,1.53541,1.47617,4.46972,0.871214,2.07803,4.69781,0.836148,0.126853,6.49541,3.82905,3.16487,0,1.88202,3.2049,1.43885,2.54626,4.82446,3.14442,3.85302,8.05571,1.81998,1.15632,1.4438,2.2625,0,0.212998,1.1491,0.941896,0.89659,2.17628,1.58809,0.25276,0.742911,2.06411,4.31132,2.02807,0,3.82195,0.219147,3.03818,0.00822639,1.02347,1.19922,2.46456,1.81505,5.42631,2.9259,2.23736,1.10906,0.599376,5.21014,0.195569,3.35309,1.7546,4.18029,0.695121,-4.77E-07,0.13705,8.02437,-3.81E-06,3.91607,0.639584,3.791,3.11956,2.90252,0.975773,0.25838,0.0874444,0,0.627569,5.01683,3.64469,3.97699,0,2.0809,0.0351734,3.19358,4.25338,0.818709,2.200096939,1.793076094, 
3 (MOW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
4 (Speed),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
5 (Signal),0,0,0,0,0.0182512,0,0,0,0,0,0,0.0446372,0,0.228267,1.80372,0.332561,0.349369,0,1.44885,0,0,2.38E-07,0,0,0,0,0,0,0,0.0604048,0,0,0,0.047266,0,1.66884,0,0,0.547842,0,0,0,0,0,3.20692,0,1.64305,0,0,0,0,0.181728,0,0,0,0,0,0,0,0,0,0,0,2.31493,0,2.45669,0,0,0,0,0,0.381989,0.0263729,1.40038,0,0,0,0,0.801289,0.800169,0.329242,0,0,0,0,0,0,0.696204,0.498134,0,0,0,0,0,0,0,0,3.36743,0,0,0.246545363,0.652949243, 
6 (Mon In),0,2.74896,1.32083,0,2.35926,3.08011,2.22842,1.4163,0,0,0,0.929737,0,0.699327,0,0.919958,2.13097,0,3.04297,0.271537,0,1.46486,0.364513,2.03666,1.5404,0,1.47562,0,0.872544,0,4.56576,2.7109,0,0.298716,2.5322,0,1.17033,1.57026,0,0,0,2.53102,0.267609,0,0,0.84076,0,4.29827,0.831826,2.49388,0,1.11579,1.47781,0.115099,0.494429,0,1.66585,0,1.55208,0,0,2.97201,0,0.671062,0,0.886518,0,0,0,0.328335,0,0,0,0.165033,3.2301,0.170219,3.25512,1.36803,0.698774,2.00087,1.49128,3.30375,0.884662,0,4.6153,2.6685,0,0.163799,0,0,0,0.16804,1.61951,0.567667,1.77001,1.07649,1.8161,0,1.25899,1.5284,0.98114134,1.171872703, 
7 (Mon Out),0.805777,3.35252,1.12796,1.76154,0,0.0254717,1.27003,0.503485,0.365901,0.985581,0,0.307373,0.0287828,0,0.547716,0.0382242,0.456204,0.41922,0,0.468483,1.35008,0.817429,0.94113,1.70173,1.78711,0,0.689123,0,0,0,3.07032,0,0.560806,2.71589,0,0.646068,0,0.813837,0.396243,0.501358,0.999357,0,0.251355,0.412287,0,0.3057,0,0,5.49845,1.31879,0,0.725857,0,0,0.521376,1.8661,1.39942,0,2.16003,0,2.59544,0,0.114736,1.20232,0.129112,2.059,0,0,0,1.52958,1.49962,1.38611,0,0,0.797503,5.97939,0,0,0.663595,0.124855,0.30942,2.06854,0,0.234187,1.73615,0.502983,0,0,1.97743,0,0.952195,4.85221,2.11959,0.453693,0.867907,3.0953,0,0.951612,0.157907,0,0.822744997,1.153783039, 
