Statistic, Task Type,Run 0,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30,Run 31,Run 32,Run 33,Run 34,Run 35,Run 36,Run 37,Run 38,Run 39,Run 40,Run 41,Run 42,Run 43,Run 44,Run 45,Run 46,Run 47,Run 48,Run 49,Run 50,Run 51,Run 52,Run 53,Run 54,Run 55,Run 56,Run 57,Run 58,Run 59,Run 60,Run 61,Run 62,Run 63,Run 64,Run 65,Run 66,Run 67,Run 68,Run 69,Run 70,Run 71,Run 72,Run 73,Run 74,Run 75,Run 76,Run 77,Run 78,Run 79,Run 80,Run 81,Run 82,Run 83,Run 84,Run 85,Run 86,Run 87,Run 88,Run 89,Run 90,Run 91,Run 92,Run 93,Run 94,Run 95,Run 96,Run 97,Run 98,Run 99,Mean, StdDev
,1,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
,2,2.00031, 4.04068, 3.5856, 3.23165, 0.674677, 0.677729, 0, 3.4404, 2.20105, 2.51185, 0.555318, 2.28119, 1.77805, 2.54065, 1.6831, 2.50769, 1.79688, 2.88026, 7.15256e-07, 0.812461, 1.88847, 2.14004, 2.17241, 3.28159, 1.06847, 6.88421, 2.43656, 1.13712, 0.0417252, -4.76837e-07, 3.44192, 6.56619, 2.57855, 0.473214, 3.80902, 2.36609, 0.933376, 2.0366, 2.15407, 0.824547, 2.18631, 0.260114, -9.53674e-07, 1.83449, 4.15765, 0.368039, 2.3398, 1.40522, 2.12906, 3.3002, 1.4335, 2.91354, 8.29674, 0.865995, 6.09189, 3.97113, 3.03895, 1.23601, 0.848163, 1.57568, 1.09779, 2.018, 5.2281, 4.50334, 1.32857, 4.10481, 0.188166, 1.25674, 1.90542, 5.10318, 3.89014, 0.459496, 0.96412, 2.06497, 3.93154, 1.59722, 2.72954, 0.491241, 0.798496, 1.32029, 1.37381, 0.744811, 2.82217, 2.12593, 2.8888, 2.62821, 0.3283, 4.23026, 2.08949, 1.88286, 7.35048, 1.25273, 1.6049, 2.44331, 3.22869, 5.73692, 5.79207, 0.0429168, 1.90735e-06, 5.42653, 2.32661, 1.76328, 
,3,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
,4,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
,5,0, 0, 1.19618, 0, 0.798565, 0.283458, 0, 0.899115, 1.29772, 0, 0.598228, 0, 0, 0.856234, 0, 0, 0.912433, 0, 0, 0, 0, 0, 0, 0, 0, 0.16363, 0, 0, 0, 0, 0, 0, 1.64969, 0, 0, 0.0924397, 0, 0, 0, 0, 0, 1.15071, 0, 0, 0, 0.413988, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.018929, 0, 0, 0, 1.28974, 0, 0.699837, 0, 2.01939, 1.31164, 0, 0.270806, 0, 0, 0.588217, 0.879657, 0, 0, 0, 0, 1.0909, 0, 1.36275, 0, 0, 0, 0.141632, 0.392994, 1.49012e-08, 0, 0.655241, 0, 0.176224, 1.72877, 0, 0, 0.6506, 0, 0, 0, 0, 0, 0, 1.63961, 0, 0.252293, 0.485958, 
,6,0.514515, 1.59539, 9.53674e-07, 0, 0.144234, 0.692049, 0.785641, 0, 0, 0, 0.843224, 1.40671, 0.230755, 0.00733376, 1.16365, 0, 0, 1.35087, 0, 0.032341, 0, 0, 1.7084, 0, 0.268812, 3.63314, 0, 0.325563, 1.67795, 1.06669, 0.890699, 6.45691, 0, 0.755024, 0, 0, 0, 0.0125122, 1.03281, 1.26746, 0.194014, 0, 0.941734, 1.5518, 1.04451, 2.17796, 0, 1.06956, 0, 1.62709, 0.689057, 1.29788, 0.885179, 0, 0.817666, 2.22585, 0.875827, 0, 0, 0.981422, 0, 0, 0, 0, 0, 0, 0, 0.639822, 1.61046, 2.48241, 0, 0, 0.00180578, 0.585299, 2.47025, 1.26498, 1.35311, 0, 0.991028, 1.4269, 0.03932, 0, 0.307981, 1.27147, 0, 0, 0.746513, 0.308773, 0, 1.13684, 1.40839, 0.610464, 0, 1.54537, 0.140011, 0.00102806, 2.21795, 0.531101, 1.31405, 1.97341, 0.706209, 0.956179, 
,7,0.245426, 0.723835, 0, 0.786044, 0, 0, 0, 1.70229, 0, 0.0197678, 1.0469, 0.678022, 0.375456, 0.930614, 0.441964, 0.674438, 1.65734, 0, 0, 1.20731, 2.02325, 0.908948, 0.158764, 0.643358, 0.249115, 1.14612, 1.6323, 0.672086, 0.292081, 2.10877, 0, 0, 1.54925, 0, 0.00661087, 0, 0, 0, 9.53674e-07, 0, 0.723529, 0.133055, 0.316483, 0.146517, 0.43767, 0, 1.86067, 0, 0.0632277, 1.04935, 1.56215, 1.62679, 1.68713, 0.0420685, 0.0174861, 0, 1.613, 0.787099, 0, 1.43968, 0.691036, 0.85193, 1.22943, 0.00630856, 0.809948, 0.852995, 0, 0, 1.1236, 0, 0, 2.44131, 0.664338, 0, 3.03976, 2.72566, 0, 1.12283, 1.2145, 2.15412, 0.536791, 0, 0, 0, 0.24522, 0.320881, 0, 2.92657, 0, 0.565058, 1.43941, 0, 0, 1.52011, 0, 0, 0.744592, 1.39659, 0.752165, 0.745256, 0.655064, 0.760065, 
,8,0, 0.733755, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.192352, 0, 0, 0.0737906, 0.224373, 0.0504599, 0, 0, 0, 1.77826, 0, 0, 1.01611, 0, 0.335606, 0.755346, 0, 0, 0, 0, 0, 0, 0, 0, 0.0323277, 0, 0.229525, 0, 0, 0, 0, 0.0122671, 0, 0, 0.439781, 0, 0, 0.0601177, 0, 0.076196, 0, 0, 1.47725, 0, 0, 0, 0, 0, 0, 0, 0, 0.5166, 0, 0, 0, 0, 1.32831, 0, 0, 0, 0, 0, 1.03937, 0, 0, 1.00684, 1.18073, 0, 0, 0.1651, 0, 0, 0, 0.028388, 1.42264, 0, 1.09433, 0, 0.456941, 0.00401592, 0, 0, 0.508978, 2.6131, 0, 0, 0, 0.188529, 0.454621, 
Total Tasks,0,10, 14, 9, 14, 11, 11, 13, 10, 11, 8, 8, 8, 10, 10, 12, 11, 9, 10, 12, 6, 12, 7, 16, 9, 11, 9, 4, 12, 6, 16, 14, 9, 3, 12, 12, 10, 11, 11, 10, 9, 5, 8, 9, 10, 10, 10, 10, 10, 5, 11, 6, 8, 18, 12, 12, 11, 14, 5, 12, 9, 9, 9, 9, 18, 13, 9, 9, 12, 12, 12, 13, 6, 11, 9, 6, 10, 8, 6, 8, 8, 8, 11, 6, 11, 11, 5, 7, 17, 12, 12, 6, 13, 14, 10, 9, 13, 16, 8, 11, 12, 10.14, 2.96109, 
,1,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
,2,6, 13, 16, 8, 5, 5, 5, 10, 14, 17, 10, 7, 10, 11, 5, 10, 7, 10, 9, 9, 12, 11, 9, 7, 10, 17, 8, 7, 8, 2, 10, 13, 9, 5, 11, 10, 10, 18, 9, 11, 10, 7, 5, 5, 12, 8, 10, 8, 9, 10, 9, 8, 11, 6, 14, 11, 13, 6, 8, 7, 5, 13, 12, 9, 6, 12, 9, 7, 11, 20, 9, 6, 8, 8, 7, 10, 12, 13, 10, 11, 9, 7, 7, 8, 10, 12, 5, 15, 12, 10, 13, 10, 8, 10, 11, 17, 12, 8, 4, 10, 9.57, 3.23258, 
,3,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
,4,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
,5,0, 1, 1, 1, 2, 3, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 2, 1, 4, 0, 1, 0, 2, 0, 0, 1, 1, 2, 1, 0, 0, 0, 1, 0, 0, 3, 2, 1, 0, 1, 0, 3, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 3, 0, 1, 1, 1, 2, 1, 1, 3, 1, 1, 2, 1, 0, 0, 0, 1, 0, 3, 1, 1, 0, 1, 2, 1, 0, 1, 0, 2, 2, 1, 0, 1, 1, 2, 2, 2, 0, 2, 4, 0, 0.98, 0.953251, 
,6,2, 4, 2, 0, 1, 3, 1, 0, 0, 0, 3, 3, 1, 3, 4, 0, 2, 2, 2, 2, 0, 3, 2, 3, 5, 3, 0, 1, 3, 2, 1, 4, 1, 1, 1, 1, 0, 3, 5, 2, 2, 1, 2, 3, 4, 2, 0, 2, 1, 2, 3, 4, 1, 3, 5, 3, 2, 0, 1, 1, 1, 0, 0, 0, 1, 0, 2, 4, 5, 3, 1, 0, 2, 4, 2, 2, 2, 1, 3, 1, 2, 0, 1, 2, 2, 0, 2, 1, 0, 1, 1, 4, 2, 1, 2, 1, 4, 2, 1, 5, 1.86, 1.39277, 
,7,2, 6, 3, 3, 4, 3, 2, 5, 2, 5, 2, 4, 7, 1, 5, 2, 1, 2, 1, 6, 4, 3, 2, 5, 3, 4, 3, 8, 5, 4, 3, 2, 4, 2, 2, 4, 1, 0, 2, 3, 3, 3, 4, 2, 1, 3, 7, 4, 5, 4, 5, 3, 3, 5, 1, 0, 2, 4, 3, 2, 3, 6, 4, 3, 5, 5, 1, 2, 3, 0, 0, 6, 3, 2, 7, 3, 1, 3, 2, 2, 4, 2, 4, 2, 4, 3, 2, 4, 1, 2, 3, 1, 1, 1, 0, 0, 4, 2, 2, 2, 2.99, 1.72032, 
,8,0, 1, 2, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 2, 3, 1, 0, 0, 0, 1, 0, 0, 2, 0, 1, 2, 1, 1, 2, 1, 1, 0, 1, 0, 3, 0, 2, 0, 1, 1, 2, 2, 1, 0, 2, 0, 1, 3, 0, 1, 0, 0, 3, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 2, 1, 0, 4, 1, 0, 0, 0, 1, 2, 0, 1, 2, 1, 0, 0, 1, 2, 0, 0, 2, 1, 0, 1, 1, 1, 2, 1, 2, 1, 4, 1, 1, 1, 0.9, 0.958745, 
