,Type 0,,Type 1,,Type 2,,Type 3,,Type 4,,Type 5,,Type 6,,Type 7,,Type 8,,
Time (min),Mean,Std Dev,Mean,Std Dev,Mean,Std Dev,Mean,Std Dev,Mean,Std Dev,Mean,Std Dev,Mean,Std Dev,Mean,Std Dev,Mean,Std Dev,
290,0.0308162,0.0335328,0.0511251,0.196967,0.0319613,0.0651789,0.00211527,0.0127102,0.0118123,0.0179682,0.0290263,0.0332639,0.0108542,0.0188547,0.0189748,0.0213299,0.0141526,0.0293698,
300,0.050951,0.0402654,0.0642599,0.216259,0.0528735,0.090712,0.00178009,0.00972645,0.0241057,0.0272409,0.0399884,0.0382136,0.0108825,0.0173108,0.0361331,0.0282244,0.0328608,0.0482684,
310,0.0479428,0.0356369,0.0584875,0.196433,0.0624123,0.0943245,0.000761261,0.00594744,0.0220186,0.0294593,0.0446332,0.0423887,0.00989819,0.0133076,0.0342733,0.029239,0.0365547,0.0464235,
320,0.0539976,0.042769,0.0582012,0.211843,0.0639616,0.0960158,0.00123486,0.00879628,0.0197186,0.0267428,0.0416606,0.0406899,0.0109471,0.0186274,0.0327057,0.0269581,0.0319381,0.0414163,
330,0.0503094,0.0366721,0.0478467,0.180335,0.0691677,0.0885262,0,0,0.020541,0.028548,0.0545574,0.0423722,0.00999521,0.0150638,0.0345651,0.0266159,0.0302249,0.0381628,
340,0.0505812,0.0434074,0.0584822,0.210074,0.0579778,0.0845781,0.00287256,0.0164363,0.0255309,0.0260242,0.0467032,0.039095,0.00948025,0.0138112,0.038218,0.0265563,0.026197,0.0395921,
350,0.0581073,0.0449455,0.0615655,0.216079,0.0820588,0.118155,0.00261557,0.0152071,0.0181008,0.0271164,0.0425108,0.0370417,0.0115868,0.0203214,0.0370152,0.0310231,0.0333151,0.0539784,
360,0.0127266,0.018603,0.0732888,0.250052,0.0234018,0.0541626,0.00164969,0.0106278,0.00922977,0.0183249,0.012255,0.022818,0.011238,0.0170504,0.00979858,0.0143092,0.00598743,0.0195903,
370,0.0129226,0.0178766,0.0460912,0.199271,0.0205768,0.0542554,0,0,0.00888062,0.0176249,0.0124341,0.0199422,0.00984357,0.018447,0.00891562,0.0159762,0.0173911,0.0437161,
380,0.0139181,0.0167416,0.0390337,0.174392,0.00661292,0.0304073,0.000900055,0.00900055,0.00569528,0.01454,0.0163362,0.0254099,0.0130895,0.0173572,0.00850778,0.0125341,0.0129873,0.0287697,
390,0.0151075,0.0198162,0.0272044,0.148716,0.0229864,0.057074,0.000457092,0.00457092,0.00467728,0.0139047,0.0127831,0.0229114,0.0132184,0.0190489,0.0113671,0.0162107,0.00834473,0.0190136,
400,0.0120172,0.0168932,0.033007,0.156797,0.0174928,0.0454341,0.000615662,0.00615662,0.0059863,0.0162626,0.0144601,0.0222905,0.0127881,0.0212427,0.0138493,0.018247,0.0112418,0.0336669,
410,0.0148121,0.0188759,0.0450268,0.190685,0.0300026,0.0578358,0.000641327,0.00641326,0.00350259,0.0117453,0.0165686,0.0221563,0.0092991,0.0155638,0.00790192,0.0120343,0.00918164,0.0189911,
420,0.023244,0.019914,0.0339064,0.15339,0.0480886,0.0914069,0.00148065,0.0098895,0.0116064,0.0208359,0.0248774,0.0321046,0.00797012,0.0154959,0.0206262,0.020718,0.0198829,0.0393975,
430,0.0290972,0.0301228,0.0358452,0.15947,0.0396619,0.0738083,0.00126495,0.00896385,0.00908844,0.0193229,0.0277539,0.0329209,0.0110029,0.0180365,0.0195393,0.0211142,0.0176964,0.0298607,
440,0.025773,0.0269666,0.0614008,0.212224,0.0336314,0.0716823,0.00157629,0.00936651,0.0125282,0.0227423,0.0242242,0.026783,0.00735559,0.0123582,0.0175909,0.0212487,0.014447,0.028845,
450,0.0491535,0.0417033,0.0452161,0.185513,0.298533,0.177807,0.0021152,0.010431,0,0,0.0153863,0.0236828,0.000233154,0.00233154,0.0098728,0.013172,0.00701001,0.0201064,
460,0.0505795,0.0438691,0.0193573,0.0903103,0.311193,0.182491,0.00559738,0.0194947,0,0,0.0105865,0.0187915,0,0,0.00911554,0.015094,0.00617325,0.0161081,
470,0.0514203,0.0375008,0.00846927,0.0598795,0.289913,0.18003,0.00677005,0.0226429,0,0,0.0125849,0.0218784,0,0,0.0130674,0.0148342,0.00365375,0.013388,






