Statistic, Task, 0 min, 10 min, 20 min, 30 min, 40 min, 50 min, 60 min, 70 min, 80 min, 90 min, 100 min, 110 min, 120 min, 130 min, 140 min, 150 min, 160 min, 170 min, 180 min, 190 min, 200 min, 210 min, 220 min, 230 min, 240 min, 250 min, 260 min, 270 min, 280 min, 290 min, 300 min, 310 min, 320 min, 330 min, 340 min, 350 min, 360 min, 370 min, 380 min, 390 min, 400 min, 410 min, 420 min, 430 min, 440 min, 450 min, 460 min, 470 min,
Utilization, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00158176, 0, 0, 0.00340695, 0.0087348, 0.00765228, 0.00670758, 0.00926256, 0.00605647, 0.00201514, 0.000204361, 0, 0.00186925, 0.0042997, 0.00218127, 0, 0, 0.000539764, 0.000121216, 0.00463171, 0, 0.00898248, 0.000596466, 0, 0, 0.00180179, 0, 0, 0.00118713, 4.27856e-05, 0.00949796, 0.00861444, 0.00271347, 0.00221878, 0, 0.000156708, 0.0133359, 0.00689685
, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0158176, 0, 0, 0.0340695, 0.087348, 0.0761047, 0.0599167, 0.0926256, 0.0605647, 0.0201514, 0.00204361, 0, 0.0186925, 0.0404257, 0.0218127, 0, 0, 0.00539764, 0.00121216, 0.0463171, 0, 0.0898248, 0.00596466, 0, 0, 0.0180179, 0, 0, 0.0118713, 0.000427857, 0.0949796, 0.0861444, 0.0271347, 0.0221878, 0, 0.00156708, 0.0993935, 0.0689685
, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 5, 0.00363281, 0.00405045, 0.00284229, 0.0033773, 0.00228686, 0.00372451, 0.00425198, 0.00574415, 0.00398444, 0.00410212, 0.00533338, 0.00689224, 0.00441277, 0.00489383, 0.00537064, 0.00405974, 0.0053689, 0.00220598, 0.00761264, 0.00585547, 0.00671387, 0.00477785, 0.00337454, 0.00306067, 0.00514137, 0.00497014, 0.00337161, 0.00716361, 0.0060914, 0.00410938, 0.00685629, 0.00532904, 0.00587195, 0.00374078, 0.00687826, 0.00544742, 0.00573889, 0.00572705, 0.00436099, 0.00586783, 0.00753186, 0.00547543, 0.0040387, 0.00694562, 0.00346405, 0.00994388, 0.00955957, 0.00794986
, , 0.0113738, 0.0126062, 0.00922277, 0.00998287, 0.00797888, 0.0121807, 0.0114756, 0.0144759, 0.0138036, 0.011623, 0.0141239, 0.0142996, 0.0110471, 0.0140429, 0.0168828, 0.0122896, 0.0141096, 0.00889966, 0.0187903, 0.0150386, 0.016792, 0.0129091, 0.0117278, 0.00965401, 0.0152861, 0.0144196, 0.00949928, 0.0171771, 0.0165398, 0.0104624, 0.0185848, 0.0119712, 0.0130566, 0.0109466, 0.0162426, 0.014858, 0.0166177, 0.0142698, 0.013265, 0.0146794, 0.0168213, 0.0159539, 0.0116074, 0.021729, 0.0108682, 0.0200717, 0.0194468, 0.0160438
, 6, 0.00160219, 0.00319195, 0.001779, 0.00239442, 0.00167389, 0.00251555, 0.00165233, 0.000802422, 0.00166104, 0.00252652, 0.00314804, 0.00158718, 0.00209614, 0.00232205, 0.0025556, 0.00162291, 0.00168321, 0.00172063, 0.000947739, 0.00221837, 0.00183305, 0.00196571, 0.00225581, 0.00203435, 0.00110881, 0.00313306, 0.00145807, 0.00221695, 0.00239114, 0.00229315, 0.0010643, 0.00120902, 0.00450714, 0.00336377, 0.0025669, 0.00233643, 0.00218375, 0.00342764, 0.00121335, 0.00355649, 0.00161124, 0.000666779, 0.0011091, 0.00151712, 0.00263861, 0, 0, 0
, , 0.004752, 0.0107628, 0.00478539, 0.00816073, 0.00680007, 0.0092492, 0.00632326, 0.00293682, 0.00568481, 0.00793343, 0.00905164, 0.00493573, 0.00863033, 0.00615498, 0.0096341, 0.00639926, 0.00860117, 0.00601068, 0.00512012, 0.00647235, 0.00626002, 0.00612274, 0.0066067, 0.00794921, 0.00652695, 0.0106598, 0.0052715, 0.00658922, 0.0106709, 0.00694058, 0.00422463, 0.00450728, 0.011751, 0.0100905, 0.00686226, 0.00759101, 0.00722228, 0.010563, 0.00417744, 0.0102774, 0.0048374, 0.00348232, 0.00369248, 0.00592239, 0.0100822, 0, 0, 0
, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 8, 0.00526544, 0.00868193, 0.00284857, 0.00101649, 0.00392577, 0.00270609, 0.00430285, 0.00279411, 0.00360958, 0.00501588, 0.00440195, 0.00210963, 0.00449625, 0.00311751, 0.00500606, 0.00403951, 0.00453912, 0.00471002, 0.00198056, 0.0061095, 0.00398042, 0.00237317, 0.00117657, 0.00412906, 0.00426612, 0.00355377, 0.00466016, 0.00600885, 0.00236661, 0.00535678, 0.00386267, 0.00183832, 0.00363785, 0.00426208, 0.0029997, 0.00384695, 0.00233679, 0.00508218, 0.00465204, 0.00234155, 0.00316602, 0.00342636, 0.00700836, 0.00233221, 0.00359384, 0.00660428, 0.00193436, 0.00255182
, , 0.0199206, 0.0346527, 0.0158059, 0.00494154, 0.0187231, 0.012288, 0.0184073, 0.00876286, 0.0146972, 0.0188254, 0.0175462, 0.00922142, 0.0208766, 0.0121453, 0.0163627, 0.0164152, 0.0231888, 0.0202316, 0.00923713, 0.0260487, 0.0151448, 0.0110538, 0.00487656, 0.016541, 0.014747, 0.0161052, 0.019392, 0.0228787, 0.00880268, 0.0192893, 0.022122, 0.0117322, 0.0155141, 0.018572, 0.0130061, 0.0127207, 0.0134794, 0.0196802, 0.0185222, 0.00828111, 0.0147141, 0.0134321, 0.025858, 0.0123846, 0.0182283, 0.0216561, 0.00816308, 0.00893526
,Sum, 0.0105004, 0.0159243, 0.00746985, 0.00678821, 0.00788652, 0.00894615, 0.0102072, 0.00934068, 0.00925506, 0.0116445, 0.0144651, 0.0105891, 0.0110052, 0.0137403, 0.0216671, 0.0173744, 0.0182988, 0.0178992, 0.0165974, 0.0161985, 0.0127317, 0.00911673, 0.00867618, 0.0135238, 0.0126976, 0.011657, 0.00948984, 0.0159292, 0.0109704, 0.016391, 0.0117833, 0.0173589, 0.0146134, 0.0113666, 0.0124449, 0.0134326, 0.0102594, 0.0142369, 0.0114135, 0.0118087, 0.0218071, 0.018183, 0.0148696, 0.0130137, 0.0096965, 0.0167049, 0.0248298, 0.0173985
, , 0.0247777, 0.0383417, 0.0182681, 0.0159208, 0.0205946, 0.0202328, 0.0224574, 0.0166872, 0.0214752, 0.0228587, 0.0305568, 0.0185401, 0.0263482, 0.0397345, 0.0895427, 0.0783659, 0.0649021, 0.0946151, 0.0640527, 0.0498771, 0.0268959, 0.0181914, 0.0230766, 0.0508994, 0.0314874, 0.0275457, 0.0216721, 0.0318157, 0.0206612, 0.0506984, 0.0283444, 0.0909127, 0.0250253, 0.02228, 0.021696, 0.027842, 0.0263332, 0.0265354, 0.0272921, 0.0219456, 0.10131, 0.0874761, 0.0376436, 0.0387148, 0.0227347, 0.0302448, 0.0999757, 0.070776
