Statistic, Task, 0 min, 10 min, 20 min, 30 min, 40 min, 50 min, 60 min, 70 min, 80 min, 90 min, 100 min, 110 min, 120 min, 130 min, 140 min, 150 min, 160 min, 170 min, 180 min, 190 min, 200 min, 210 min, 220 min, 230 min, 240 min, 250 min, 260 min, 270 min, 280 min, 290 min,
Utilization, 0, 0.0444377, 0.0475757, 0.0471277, 0.0330692, 0.0251346, 0.0291954, 0.0288711, 0.0223458, 0.0241669, 0.0209634, 0.0294343, 0.0250545, 0.0307695, 0.0242455, 0.0255278, 0.0215544, 0.0262833, 0.0269687, 0.0300423, 0.028572, 0.024699, 0.0258732, 0.0292675, 0.0255278, 0.0266597, 0.022284, 0.0261238, 0.0454425, 0.0456804, 0.050248
, , 0.0329436, 0.0348457, 0.0331673, 0.0310573, 0.0225057, 0.0274959, 0.0298259, 0.0260421, 0.023565, 0.0221987, 0.0307547, 0.0272515, 0.029624, 0.0238308, 0.0275191, 0.0244865, 0.0244633, 0.0311223, 0.0315752, 0.0272858, 0.0255645, 0.0260745, 0.02587, 0.0264385, 0.0266213, 0.0235341, 0.0287375, 0.0317947, 0.0321449, 0.0420695
, 1, 0, 0, 0, 0, 0.0117799, 0.0162626, 0.0195893, 0.0112809, 0.0197453, 0.0171847, 0.0411071, 0.0450037, 0.0357996, 0.0326634, 0.0407582, 0.0330019, 0.0311011, 0.0333666, 0.017726, 0.00292065, 0.0250047, 0.0340523, 0.0212039, 0.0139011, 0.00644661, 0.0197509, 0.0245213, 0.0202805, 0.0201363, 0.00530414
, , 0, 0, 0, 0, 0.0783293, 0.0749703, 0.107763, 0.0591274, 0.130622, 0.106383, 0.173406, 0.186247, 0.160279, 0.160314, 0.176505, 0.1485, 0.155645, 0.156308, 0.120289, 0.0208988, 0.11711, 0.151952, 0.119222, 0.0780056, 0.0397535, 0.105045, 0.122348, 0.115455, 0.112552, 0.0347388
, 2, 0.312896, 0.338697, 0.350818, 0.0630216, 0.0311006, 0.0403197, 0.0271444, 0.0435887, 0.0289974, 0.0255379, 0.0288755, 0.025815, 0.0294566, 0.0314475, 0.0405115, 0.0323728, 0.0260621, 0.0398599, 0.0233076, 0.0336874, 0.0374092, 0.0257141, 0.0280152, 0.0334632, 0.0245105, 0.0297945, 0.0296216, 0.374734, 0.293688, 0.295381
, , 0.161322, 0.19332, 0.178856, 0.0936388, 0.0613779, 0.0733089, 0.0575397, 0.0771656, 0.0555033, 0.0655163, 0.0592909, 0.0547276, 0.0618912, 0.0544863, 0.0713583, 0.0632516, 0.0592781, 0.068879, 0.0536258, 0.0670694, 0.0691986, 0.0573237, 0.0660736, 0.0639038, 0.0592517, 0.05949, 0.0617302, 0.189069, 0.176509, 0.179343
, 3, 0, 0, 0, 0.000445721, 0, 0.00230225, 0.00127253, 0.000394333, 0.000245583, 0, 0.00105336, 0.00213715, 0.00123347, 0, 0, 0.000536667, 0, 0.00177245, 0.00251361, 0.00111134, 0.00177818, 0.00160229, 0.000568207, 0.00240941, 0, 0.00109422, 0.00202551, 0.00566989, 0.0103403, 0.00381625
, , 0, 0, 0, 0.00445721, 0, 0.0124808, 0.00895358, 0.00394333, 0.00245583, 0, 0.00767579, 0.0125455, 0.00879282, 0, 0, 0.00536667, 0, 0.00976855, 0.0145172, 0.00817058, 0.0112595, 0.0114638, 0.00568207, 0.0149469, 0, 0.007948, 0.0117235, 0.0179938, 0.025673, 0.0146516
, 4, 0, 0, 0, 0.00737234, 0.00951311, 0.0082987, 0.0118052, 0.0126247, 0.00797817, 0.010881, 0.0123706, 0.00789906, 0.0130337, 0.0112314, 0.00739394, 0.0103882, 0.0104692, 0.0108074, 0.00998258, 0.00890079, 0.00904445, 0.0120598, 0.0113375, 0.0100897, 0.0117428, 0.0112124, 0.00779831, 0, 0, 0
, , 0, 0, 0, 0.0150956, 0.0188228, 0.0143924, 0.0199301, 0.0210283, 0.0151097, 0.019836, 0.0220837, 0.0158345, 0.0204451, 0.0193705, 0.0148257, 0.0180512, 0.0188837, 0.0188763, 0.0178593, 0.0171335, 0.0199215, 0.0201457, 0.0191854, 0.0171528, 0.020189, 0.0167696, 0.0146258, 0, 0, 0
, 5, 0.00651047, 0.00679577, 0.00705444, 0.032479, 0.0338646, 0.031289, 0.0325272, 0.0353418, 0.0262954, 0.0352887, 0.0340963, 0.0306368, 0.030076, 0.0321453, 0.0360529, 0.032262, 0.0288552, 0.0262681, 0.0255407, 0.0280985, 0.0314119, 0.0315318, 0.0341175, 0.0259294, 0.0280028, 0.0339325, 0.0318253, 0.00883926, 0.0168148, 0.0124186
, , 0.0142009, 0.013785, 0.0156605, 0.034709, 0.0362348, 0.0302089, 0.0321225, 0.0323566, 0.0303343, 0.0306432, 0.0316324, 0.0305214, 0.0309779, 0.039073, 0.0342369, 0.0324316, 0.0376993, 0.0304109, 0.0274522, 0.0312933, 0.0327784, 0.0315556, 0.0317424, 0.0326852, 0.0318787, 0.0361579, 0.033156, 0.0163205, 0.0213913, 0.0203797
, 6, 0.0051556, 0.00468135, 0.00838661, 0.0108331, 0.0114607, 0.0117862, 0.0130421, 0.0127016, 0.0157381, 0.0119675, 0.0127623, 0.0119319, 0.00979459, 0.013095, 0.0112625, 0.0109235, 0.012039, 0.0133691, 0.0130383, 0.0150484, 0.0124492, 0.0147088, 0.0140906, 0.0120059, 0.0147043, 0.014429, 0.0118372, 5.33752e-05, 0, 0
, , 0.0113838, 0.00975772, 0.0188793, 0.0165869, 0.0183728, 0.0186453, 0.018622, 0.0165256, 0.0211521, 0.0177939, 0.0178111, 0.0206365, 0.0169227, 0.0198471, 0.0172035, 0.0159646, 0.0165745, 0.0201185, 0.0183504, 0.0253448, 0.0189852, 0.0209167, 0.0226566, 0.0179008, 0.0179574, 0.0220907, 0.0167745, 0.000533752, 0, 0
