Statistic, Task, 0 min, 10 min, 20 min, 30 min, 40 min, 50 min, 60 min, 70 min, 80 min, 90 min, 100 min, 110 min, 120 min, 130 min, 140 min, 150 min, 160 min, 170 min, 180 min, 190 min, 200 min, 210 min, 220 min, 230 min, Sum
, Sum, 0.363578, 0.394662, 0.412805, 0.169087, 0.176158, 0.154427, 0.169469, 0.176963, 0.175356, 0.165297, 0.168317, 0.167658, 0.193716, 0.194377, 0.176298, 0.177293, 0.161121, 0.183304, 0.175446, 0.152008, 0.182018, 0.435733, 0.448299, 0.38651, 5.5599
, , 0.161197, 0.190595, 0.164966, 0.116975, 0.109166, 0.0996145, 0.131282, 0.150097, 0.150335, 0.119805, 0.128567, 0.127215, 0.129598, 0.155653, 0.126603, 0.132731, 0.120792, 0.138868, 0.125325, 0.0880069, 0.131697, 0.216984, 0.188904, 0.184183, 0.877299
Service Time, 0, 0.576164, 0.400193, 0.52606, 0.226824, 0.266195, 0.213109, 0.24881, 0.253441, 0.274585, 0.236156, 0.249384, 0.242334, 0.269951, 0.280452, 0.266278, 0.23896, 0.269477, 0.264267, 0.236894, 0.232004, 0.271641, 0.477154, 0.394811, 0.39915, 7.31429
, , 0.415356, 0.286871, 0.424629, 0.262513, 0.279103, 0.213062, 0.261502, 0.309999, 0.323418, 0.248497, 0.235117, 0.236958, 0.259951, 0.303021, 0.262777, 0.252195, 0.303586, 0.281381, 0.257955, 0.20434, 0.247059, 0.360919, 0.308544, 0.347311, 1.48717
, 1, 0, 0, 0, 0.117714, 0.0497238, 0.0529087, 0.153638, 0.221983, 0.212267, 0.253745, 0.197892, 0.113623, 0.18341, 0.226284, 0.152862, 0.189802, 0.112637, 0.290073, 0.119574, 0.0328638, 0.177176, 0.32038, 0.277717, 0.100498, 3.55677
, , 0, 0, 0, 0.710827, 0.309084, 0.529087, 1.01961, 1.3703, 1.31546, 1.02254, 1.07794, 0.888038, 0.793769, 1.23505, 0.789748, 0.940593, 0.566535, 1.24355, 0.962793, 0.212878, 1.03398, 1.44423, 1.38986, 0.669367, 6.2906
, 2, 2.77263, 3.28155, 3.36346, 0.455048, 0.459458, 0.334344, 0.353453, 0.349419, 0.267866, 0.254566, 0.222763, 0.296776, 0.364861, 0.427334, 0.362578, 0.398153, 0.307674, 0.373066, 0.347368, 0.396725, 0.349394, 3.18451, 3.38309, 2.99335, 25.2994
, , 1.54098, 1.91905, 1.67355, 0.694962, 0.810961, 0.650145, 0.596735, 0.607148, 0.601835, 0.557463, 0.521344, 0.743257, 0.707728, 0.802811, 0.664023, 0.78058, 0.688469, 0.736733, 0.641599, 0.645796, 0.68586, 1.71624, 1.82614, 1.68088, 5.6983
, 3, 0, 0, 0, 0.00576454, 0.00353874, 0.00295856, 0.0134958, 0.023554, 0, 0, 0.015492, 0.00982536, 0.0239527, 0, 0, 0.0102182, 0.0170564, 0.00443588, 0.00578064, 0, 0.00816757, 0.044109, 0.0803267, 0.0741959, 0.342872
, , 0, 0, 0, 0.0576454, 0.0353874, 0.0295856, 0.0808139, 0.118012, 0, 0, 0.111802, 0.0755351, 0.142075, 0, 0, 0.102182, 0.103013, 0.0443588, 0.0407752, 0, 0.0596089, 0.176912, 0.244526, 0.227035, 0.474973
, 4, 0, 0, 0, 0.0892768, 0.092963, 0.0885659, 0.10102, 0.0931232, 0.0907112, 0.118459, 0.104271, 0.081301, 0.119644, 0.0660346, 0.0989172, 0.114626, 0.0942191, 0.0801352, 0.117411, 0.0775354, 0.11462, 0.00148911, 0, 0, 1.74432
, , 0, 0, 0, 0.168562, 0.171733, 0.160901, 0.183125, 0.167298, 0.174003, 0.203427, 0.208845, 0.164659, 0.187094, 0.152021, 0.183063, 0.201258, 0.17244, 0.177302, 0.199145, 0.170941, 0.198614, 0.0148911, 0, 0, 0.791748
, 5, 0.0739607, 0.0657681, 0.0642027, 0.310659, 0.315749, 0.331573, 0.256141, 0.28479, 0.287537, 0.273186, 0.311511, 0.364647, 0.392455, 0.329971, 0.303441, 0.231573, 0.290855, 0.353069, 0.343454, 0.321876, 0.308004, 0.107329, 0.108912, 0.100068, 6.13073
, , 0.15693, 0.135533, 0.16123, 0.303592, 0.306273, 0.387431, 0.256067, 0.308564, 0.331408, 0.282301, 0.335697, 0.329775, 0.369538, 0.333283, 0.333937, 0.2598, 0.297873, 0.371287, 0.324367, 0.346187, 0.307109, 0.180158, 0.201528, 0.215662, 1.38691
, 6, 0.0559709, 0.072625, 0.044853, 0.124179, 0.136647, 0.115013, 0.154852, 0.131656, 0.148984, 0.0950766, 0.138665, 0.114814, 0.137628, 0.131965, 0.124096, 0.100661, 0.141485, 0.134688, 0.116918, 0.116561, 0.115226, 0, 0, 0, 2.45256
, , 0.111821, 0.139421, 0.102522, 0.187128, 0.211204, 0.158466, 0.227875, 0.222959, 0.185494, 0.167062, 0.207816, 0.195606, 0.167947, 0.157383, 0.17306, 0.1411, 0.193071, 0.186787, 0.152717, 0.177661, 0.173954, 0, 0, 0, 0.929692
, 7, 0.0803991, 0.0468533, 0.0669636, 0.176427, 0.165155, 0.201898, 0.178609, 0.163815, 0.161783, 0.210458, 0.194882, 0.182687, 0.23667, 0.203142, 0.206775, 0.202976, 0.140344, 0.161531, 0.205887, 0.17721, 0.2018, 0.10617, 0.141666, 0.120448, 3.93455
, , 0.146783, 0.0868034, 0.12733, 0.16451, 0.155389, 0.230654, 0.186128, 0.182716, 0.182164, 0.205627, 0.199498, 0.189154, 0.219154, 0.207453, 0.204456, 0.201111, 0.175311, 0.197665, 0.216244, 0.200291, 0.179918, 0.163342, 0.186918, 0.180506, 0.841464
, 8, 0.0766635, 0.0796321, 0.0625143, 0.184974, 0.272149, 0.203899, 0.234673, 0.247846, 0.309825, 0.211321, 0.248315, 0.270569, 0.208591, 0.278588, 0.24803, 0.285958, 0.23746, 0.171775, 0.261174, 0.165302, 0.274153, 0.116188, 0.0964613, 0.0773869, 4.82345
, , 0.301063, 0.265711, 0.183639, 0.368389, 0.50299, 0.326574, 0.413827, 0.407647, 0.448123, 0.331694, 0.38732, 0.446404, 0.294697, 0.439649, 0.439488, 0.425794, 0.40424, 0.298766, 0.386972, 0.292108, 0.411016, 0.326344, 0.238736, 0.201848, 1.76218
, Sum, 3.63579, 3.94662, 4.12805, 1.69087, 1.76158, 1.54427, 1.69469, 1.76963, 1.75356, 1.65297, 1.68317, 1.67658, 1.93716, 1.94377, 1.76298, 1.77293, 1.61121, 1.83304, 1.75446, 1.52008, 1.82018, 4.35733, 4.48299, 3.8651, 55.599
, , 1.61197, 1.90595, 1.64967, 1.16975, 1.09166, 0.996145, 1.31282, 1.50097, 1.50335, 1.19805, 1.28567, 1.27215, 1.29598, 1.55653, 1.26603, 1.32731, 1.20792, 1.38868, 1.25325, 0.880069, 1.31697, 2.16984, 1.88904, 1.84183, 8.77299
Wait Time, 0, 0.0158124, 0.00502079, 0.0179719, 0.0342231, 0.139304, 0.0388266, 0.0345614, 0.0613674, 0.172157, 0.609991, 0.679256, 0.078048, 0.478591, 0.360428, 0.0588856, 0.0634801, 0.212977, 0.0658516, 0.593383, 0.0466028, 0.0710025, 0.35585, 1.11357, 0.390698, 5.69786
, , 0.0414113, 0.0228458, 0.0626352, 0.114607, 0.760667, 0.108269, 0.130369, 0.170897, 0.996033, 3.90522, 4.03346, 0.251036, 3.58913, 2.60958, 0.172822, 0.204705, 1.69111, 0.293597, 3.76189, 0.178096, 0.248567, 2.12761, 7.87355, 2.64514, 11.8682
, 1, 0, 0, 0, 0.00434185, 0, 0.00437946, 0.0120529, 0.00996285, 0.0195055, 0.017995, 0.0115469, 0.0186546, 0.0398578, 0.0117177, 0.00529327, 0.0259578, 0.011666, 0.0194675, 0.0100919, 0, 0.00296814, 0, 0, 0, 0.225459
, , 0, 0, 0, 0.0434185, 0, 0.0437946, 0.107781, 0.0732812, 0.119065, 0.126745, 0.0898534, 0.133479, 0.191331, 0.0948579, 0.0529327, 0.233209, 0.0619485, 0.115036, 0.058578, 0, 0.0296814, 0, 0, 0, 0.566659
, 2, 0.744134, 0.910777, 1.02592, 0.11478, 0.0812638, 0.0516715, 0.0946708, 0.0577114, 0.0613198, 0.665447, 0.0307154, 0.0831679, 0.139592, 0.0839822, 0.101357, 0.0915796, 0.0741626, 0.0518851, 0.15616, 0.0914157, 0.0557181, 0.888673, 1.46913, 1.81165, 8.93687
, , 1.07822, 1.23256, 1.2585, 0.418526, 0.201067, 0.15623, 0.34258, 0.200613, 0.230036, 4.37881, 0.120205, 0.27861, 0.473025, 0.377163, 0.316448, 0.335034, 0.28136, 0.187648, 0.883056, 0.288844, 0.192464, 1.17602, 2.21034, 5.53752, 7.75882
, 3, 0, 0, 0, 0, 0.00333477, 0, 0.00396187, 0.0008638, 0, 0, 0, 0.000625458, 0.00437798, 0, 0, 0, 0, 0, 0, 0, 0, 0.0628953, 0.189335, 0.184492, 0.449887
, , 0, 0, 0, 0, 0.0333477, 0, 0.0282065, 0.008638, 0, 0, 0, 0.00625458, 0.0437798, 0, 0, 0, 0, 0, 0, 0, 0, 0.522439, 0.659355, 0.979457, 1.25325
, 4, 0, 0, 0, 0.0015971, 0.00336853, 0.00634403, 0.0110472, 0.00061058, 0.0102269, 0.00280708, 0.000557403, 0.00140427, 0.00409103, 0.00342499, 0.00773392, 0.00815139, 0.000350952, 0.00253021, 0.00531448, 0.00274902, 0.00730148, 0, 0, 0, 0.0796106
, , 0, 0, 0, 0.015971, 0.0251088, 0.0332187, 0.0613545, 0.0061058, 0.0650867, 0.0199164, 0.00557404, 0.0140427, 0.0307669, 0.0342499, 0.0392388, 0.0398936, 0.00350952, 0.0253021, 0.0344922, 0.0274902, 0.0440249, 0, 0, 0, 0.133454
, 5, 0.0951618, 0.106882, 0.102144, 0.0241937, 0.00435024, 0.00570305, 0.0062442, 0.0123129, 0.013242, 0.00139, 0.00953735, 0.0214495, 0.0155884, 0.00697982, 0.0137625, 0.00618622, 0.00432297, 0.0122888, 0.0172359, 0.00938995, 0.00803299, 0.314116, 0.475858, 0.452863, 1.73924
, , 0.384272, 0.306984, 0.347644, 0.159746, 0.0277064, 0.0365995, 0.0469165, 0.0697794, 0.062166, 0.0109598, 0.0549884, 0.06987, 0.062349, 0.0371847, 0.0657415, 0.0410186, 0.0334242, 0.0501663, 0.0632667, 0.0515478, 0.0477776, 0.903611, 1.29236, 1.04277, 1.94435
, 6, 0.139106, 0.273669, 0.423308, 0.105448, 0.0827478, 0.0275406, 0.0273317, 0.0266241, 0.0807207, 1.46915, 0.230689, 0.0431752, 0.152689, 0.236203, 0.38661, 0.0606451, 0.214455, 0.0791573, 0.390284, 0.0139499, 0.0547681, 0.275744, 0, 0, 4.79401
, , 0.430109, 1.01214, 0.888052, 0.471161, 0.320531, 0.0930181, 0.102792, 0.131674, 0.390089, 13.8763, 1.50702, 0.129346, 1.11208, 1.38439, 3.39643, 0.341347, 1.4955, 0.424065, 3.00935, 0.0655708, 0.184479, 2.07338, 0, 0, 14.7676
, 7, 0.263099, 0.474692, 0.407715, 0.224278, 0.249564, 0.0751605, 0.125039, 0.0715574, 0.157965, 2.01904, 0.27471, 0.0888121, 0.229731, 0.399042, 0.471053, 0.103284, 0.340084, 0.126265, 0.235122, 0.053201, 0.0530046, 0.207586, 0.401262, 0.222292, 7.27356
, , 0.593779, 1.10103, 0.968801, 0.709473, 0.986379, 0.179734, 0.595845, 0.178646, 0.861955, 16.8095, 1.39914, 0.208531, 0.88406, 2.30711, 3.78852, 0.338577, 2.24776, 0.554666, 1.1931, 0.125344, 0.138344, 1.58083, 2.75584, 1.49445, 17.7721
, 8, 0.150636, 0.259303, 0.174188, 0.110353, 0.0190219, 0.00284183, 0.0160674, 0.0146495, 0.0214409, 0.00538056, 0.0155225, 0.00978882, 0.00935394, 0.0171762, 0.0106387, 0.0065535, 0.00549423, 0.0028891, 0.0141104, 0.0106332, 0.0262077, 0.168094, 0.150229, 0.146881, 1.36745
