Statistic, Task, 0 min, 10 min, 20 min, 30 min, 40 min, 50 min, 60 min, 70 min, 80 min, 90 min, 100 min, 110 min, 120 min, 130 min, 140 min, 150 min, 160 min, 170 min, 180 min, 190 min, 200 min, 210 min, 220 min, 230 min, Sum
, 5, 0.22, 0.23, 0.21, 0.96, 1.04, 1.11, 0.89, 0.95, 0.93, 0.93, 1.01, 1.14, 1.24, 1.05, 1, 0.81, 0.91, 1.1, 1.09, 1.05, 1.02, 0.36, 0.31, 0.32, 19.88
, , 0.462317, 0.446196, 0.498381, 0.96316, 0.931166, 1.17116, 0.827495, 0.96792, 1.01757, 0.912926, 0.989796, 1.03495, 1.05524, 0.96792, 0.942809, 0.884148, 0.9, 1.07778, 0.975405, 1.02863, 0.963789, 0.5777, 0.56309, 0.664846, 4.42281
, 6, 0.43, 0.47, 0.39, 0.79, 0.97, 0.83, 0.94, 0.91, 1.08, 0.81, 0.97, 0.82, 1.1, 0.96, 0.93, 0.92, 1.05, 0.95, 0.84, 0.91, 0.79, 0, 0, 0, 17.86
, , 0.685418, 0.688359, 0.58422, 0.868006, 1.02942, 0.921735, 1.11754, 1.04538, 1.01185, 0.872648, 1.01956, 0.946871, 1.02986, 1.03397, 0.86754, 1.02178, 0.925235, 0.925235, 0.84948, 0.911154, 0.913369, 0, 0, 0, 4.82632
, 7, 0.68, 0.53, 0.68, 1.8, 1.75, 1.61, 1.72, 1.7, 1.71, 1.91, 1.67, 1.98, 1.88, 1.73, 1.78, 1.87, 1.46, 1.65, 1.93, 1.7, 1.95, 0.93, 1.18, 0.99, 36.79
, , 0.827312, 0.717107, 0.802521, 1.18918, 1.21751, 1.28625, 1.31103, 1.17637, 1.3875, 1.25606, 1.27172, 1.55687, 1.31257, 1.22148, 1.28378, 1.3231, 1.16706, 1.41689, 1.51927, 1.23501, 1.27426, 0.923924, 0.903193, 1.16771, 5.47961
, 8, 0.2, 0.21, 0.15, 0.58, 0.82, 0.66, 0.64, 0.7, 0.8, 0.67, 0.74, 0.72, 0.68, 0.73, 0.73, 0.67, 0.67, 0.5, 0.76, 0.56, 0.69, 0.24, 0.25, 0.25, 13.62
, , 0.471405, 0.40936, 0.385992, 0.754515, 0.936143, 0.819214, 0.785217, 0.926599, 0.876172, 0.817177, 0.905873, 0.779536, 0.77694, 0.802207, 0.851084, 0.817177, 0.841536, 0.6742, 0.996154, 0.78264, 0.800189, 0.473969, 0.51981, 0.479372, 3.21543
, Sum, 8.21, 7.83, 8.4, 6.53, 6.96, 6.59, 6.91, 6.59, 6.85, 6.73, 6.76, 7.07, 7.55, 6.98, 6.93, 6.74, 6.57, 6.77, 7.26, 6.61, 7.14, 7.54, 8.05, 7.65, 171.22
, , 2.872, 2.34005, 2.26969, 2.49628, 2.42012, 2.42085, 2.44988, 2.531, 2.48379, 2.50597, 2.42928, 2.51964, 2.73907, 2.63611, 2.43814, 2.18174, 2.30176, 2.11705, 2.61935, 2.26477, 2.73038, 2.31996, 2.6529, 2.70568, 12.0047
Number Expired, 0, 0, 0, 0, 0.06, 0.13, 0.1, 0.09, 0.1, 0.23, 0.17, 0.24, 0.11, 0.23, 0.18, 0.14, 0.12, 0.1, 0.09, 0.25, 0.09, 0.11, 0.09, 0.11, 0.1, 2.84
, , 0, 0, 0, 0.238683, 0.418149, 0.301511, 0.287623, 0.333333, 0.529055, 0.652191, 0.653197, 0.345096, 0.708605, 0.519907, 0.402517, 0.383498, 0.38925, 0.287623, 0.701729, 0.287623, 0.399368, 0.473436, 0.80271, 0.541229, 2.10204
, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 2, 0.1, 0.16, 0.19, 0.04, 0, 0.02, 0.02, 0.01, 0.02, 0.05, 0.01, 0.03, 0.04, 0.01, 0.02, 0.03, 0.03, 0.03, 0.03, 0.02, 0.01, 0.18, 0.41, 0.41, 1.87
, , 0.333333, 0.368453, 0.464823, 0.242878, 0, 0.140705, 0.140705, 0.1, 0.140705, 0.329524, 0.1, 0.171447, 0.196946, 0.1, 0.140705, 0.171447, 0.171447, 0.171447, 0.171447, 0.140705, 0.1, 0.457927, 0.697688, 1.07398, 1.70948
, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.03, 0.1, 0.07, 0.2
, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.222702, 0.301511, 0.293189, 0.449467
, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0.01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.01
, , 0, 0, 0, 0, 0, 0, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1
, 5, 0.07, 0.08, 0.08, 0.02, 0, 0, 0, 0, 0.01, 0, 0, 0, 0, 0, 0.01, 0.01, 0, 0, 0, 0.01, 0, 0.2, 0.28, 0.29, 1.06
, , 0.256432, 0.27266, 0.307482, 0.140705, 0, 0, 0, 0, 0.1, 0, 0, 0, 0, 0, 0.1, 0.1, 0, 0, 0, 0.1, 0, 0.471405, 0.604361, 0.591096, 1.09008
, 6, 0.14, 0.18, 0.32, 0.09, 0.12, 0.06, 0.07, 0.05, 0.12, 0.14, 0.11, 0.14, 0.09, 0.14, 0.15, 0.07, 0.09, 0.1, 0.15, 0.05, 0.11, 0.05, 0, 0, 2.54
, , 0.348735, 0.457927, 0.529532, 0.287623, 0.383498, 0.238683, 0.256432, 0.261116, 0.383498, 0.586377, 0.345096, 0.426875, 0.287623, 0.426875, 0.538891, 0.256432, 0.350901, 0.333333, 0.5, 0.219043, 0.314466, 0.35887, 0, 0, 1.86634
, 7, 0.31, 0.4, 0.33, 0.25, 0.31, 0.18, 0.2, 0.21, 0.26, 0.24, 0.26, 0.24, 0.32, 0.32, 0.24, 0.26, 0.22, 0.2, 0.21, 0.17, 0.13, 0.07, 0.06, 0.06, 5.45
, , 0.56309, 0.710669, 0.513554, 0.55732, 0.614554, 0.411452, 0.471404, 0.518253, 0.524549, 0.88899, 0.463191, 0.452155, 0.649475, 0.664846, 0.605029, 0.543464, 0.578748, 0.550482, 0.456048, 0.427702, 0.337998, 0.325825, 0.277798, 0.312048, 2.76111
, 8, 0.09, 0.19, 0.13, 0.04, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.14, 0.09, 0.11, 0.79
, , 0.287624, 0.419114, 0.418149, 0.242878, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.376588, 0.287623, 0.345095, 0.967085
, Sum, 0.71, 1.01, 1.05, 0.5, 0.56, 0.36, 0.38, 0.37, 0.65, 0.6, 0.62, 0.52, 0.68, 0.65, 0.56, 0.49, 0.44, 0.42, 0.64, 0.34, 0.36, 0.76, 1.05, 1.04, 14.76
, , 0.913369, 1.22676, 0.9783, 0.834847, 1.03787, 0.659354, 0.564613, 0.705748, 1.12254, 2.0695, 1.04234, 0.870156, 1.23812, 1.26631, 1.32054, 0.810225, 1.09471, 0.780831, 1.32969, 0.639128, 0.703814, 1.39349, 1.66591, 2.0837, 5.73862
