 Time (min), Rep 0, Rep 1, Rep 2, Rep 3, Rep 4, Rep 5, Rep 6, Rep 7, Rep 8, Rep 9, Rep 10, Rep 11, Rep 12, Rep 13, Rep 14, Rep 15, Rep 16, Rep 17, Rep 18, Rep 19, Rep 20, Rep 21, Rep 22, Rep 23, Rep 24, Rep 25, Rep 26, Rep 27, Rep 28, Rep 29, Rep 30, Rep 31, Rep 32, Rep 33, Rep 34, Rep 35, Rep 36, Rep 37, Rep 38, Rep 39, Rep 40, Rep 41, Rep 42, Rep 43, Rep 44, Rep 45, Rep 46, Rep 47, Rep 48, Rep 49, Rep 50, Rep 51, Rep 52, Rep 53, Rep 54, Rep 55, Rep 56, Rep 57, Rep 58, Rep 59, Rep 60, Rep 61, Rep 62, Rep 63, Rep 64, Rep 65, Rep 66, Rep 67, Rep 68, Rep 69, Rep 70, Rep 71, Rep 72, Rep 73, Rep 74, Rep 75, Rep 76, Rep 77, Rep 78, Rep 79, Rep 80, Rep 81, Rep 82, Rep 83, Rep 84, Rep 85, Rep 86, Rep 87, Rep 88, Rep 89, Rep 90, Rep 91, Rep 92, Rep 93, Rep 94, Rep 95, Rep 96, Rep 97, Rep 98, Rep 99, Mean, Std Dev,
300,0.185797,0.298496,0.0849355,0.136485,0.126588,0.174337,0.194847,0.0925517,0.109198,0.12562,0.156129,0.0639618,0.216309,0.0918599,0.169682,0.123332,0.162088,0.148171,0.1678,0.207391,0.204317,0.203784,0.0619273,0.293551,0.201661,0.134622,0.170548,0.207309,0.0894867,0.371003,0.182895,0.149902,0.156713,0.139088,0.159154,0.141887,0.25247,0.108246,0.17725,1,0.0879374,0.204943,0.154654,0.177476,0.152644,0.251183,0.155095,0.163408,0.0230998,0.188453,0.133155,0.171181,0.138397,0.201613,0.129462,0.141787,0.106611,0.234796,0.359065,0.145946,0.167664,0.1608,0.170195,0.247299,0.153,0.1733,0.0471873,0.184573,0.204626,0.151233,0.151661,0.147726,0.112956,0.183938,0.04381,0.121285,0.410485,0.248525,0.104316,0.143964,0.0766052,0.19644,0.119866,0.19649,0.15843,0.08933,0.132662,0.152614,0.145761,0.258342,0.0578613,0.111717,0.141382,0.144299,0.150968,0.260898,0.15301,0.18614,0.187007,0.0915965,0.171023,0.10588, 
330,0.155213,0.200193,0.180887,0.144154,0.176332,0.143816,0.184906,0.102656,0.228852,0.184219,0.417323,0.15506,0.106541,0.212246,0.143054,0.154684,0.148429,0.302462,0.160424,0.0464742,0.174696,0.0762492,0.0838999,0.135167,0.0670909,0.0820424,0.198349,0.262808,0.0911346,0.0998708,0.229488,0.0834106,0.123392,0.0564921,0.273345,0.194291,0.159609,0.0964854,0.153218,1,0.306702,0.16907,0.190153,0.424449,0.14986,0.126051,0.119318,0.230681,0.160265,0.137853,0.08791,0.145178,0.18008,0.200311,0.215764,0.147385,0.117926,0.139122,0.0786265,0.162754,0.220227,0.162561,0.0937276,0.141659,0.148291,0.194719,0.142192,0.194408,0.117804,0.190577,0.0766937,0.283076,0.225128,0.157031,0.157897,0.136121,0.210423,0.179429,0.209712,0.188384,0.0923299,0.17105,0.267045,0.151331,0.0764903,0.0966146,0.166472,0.249605,0.146154,0.520681,0.128226,0.142446,0.114397,0.125654,0.156334,0.0917704,0.186061,0.14657,0.152615,0.114402,0.174047,0.111838, 
360,0.197656,0.0638234,0.174228,0.0946157,0.287404,0.152471,0.109295,0.119707,0.139884,0.244653,0.157422,0.129338,0.105882,0.0909464,0.167133,0.439525,0.0751495,0.179858,0.131595,0.152093,0.316928,0.167892,0.161889,0.133754,0.17693,0.14512,0.161491,0.133446,0.0673726,0.14363,0.101427,0.151209,0.15775,0.259798,0.120681,0.137142,0.495684,0.26074,0.192998,0.552912,0.100659,0.0781423,0.240571,0.208294,0.111114,0.0868459,0.137596,0.157478,0.257973,0.0676188,0.153302,0.142455,0.120783,0.101444,0.093987,0.0927043,0.100971,0.178101,0.134437,0.0665253,0.146172,0.124863,0.0867676,0.177746,0.156842,0.143578,0.122601,0.152707,0.182381,0.105434,0.239655,0.221162,0.152073,0.187896,0.162243,0.181216,0.119963,0.200199,0.169626,0.0953471,0.112528,0.211123,0.193784,0.185637,0.174578,0.254574,0.259234,0.0711212,0.215253,0.0624868,0.151921,0.136474,0.0905222,0.107316,0.164023,0.203949,0.350765,0.19322,0.387742,0.130126,0.166673,0.0849185, 
390,0.178609,0.0891673,0.132977,0.0578044,0.0808411,0.123432,0.225776,0.16403,0.226173,0.10511,0.218692,0.247826,0.162892,0.108389,0.0726613,0.259438,0.0917837,0.124982,0.299364,0.252436,0.415709,0.0891917,0.0722005,0.130387,0.0901215,0.28722,0.134394,0.143732,0.121742,0.181011,0.0838908,0.0649485,0.323793,0.120128,0.0904348,0.116314,0.172223,0.248946,0.128975,0.170533,0.258891,0.251514,0.136286,0.0949575,0.140631,0.069635,0.117892,0.227991,0.0951894,0.179158,0.11919,0.0651072,0.336199,0.16338,0.111964,0.127482,0.17188,0.175935,0.161853,0.114418,0.191041,0.724007,0.201044,0.22278,0.198556,0.171512,0.107407,0.0990763,0.131899,0.0655273,0.1114,0.296105,0.123078,0.160031,0.165725,0.14446,0.0799571,0.161226,0.181201,0.241958,0.0718282,0.187302,0.143736,0.240257,0.203332,0.175377,0.117005,0.174811,0.139553,0.147934,0.166285,0.12991,0.117649,0.0776723,0.0763896,0.0455282,0.178139,0.133604,0.360533,0.166152,0.163588,0.0910806, 
420,0.228529,0.223762,0.233469,0.169652,0.145646,0.147429,0.202976,0.208369,0.168252,0.19343,0.277549,0.170386,0.215523,0.105207,0.217851,0.202751,0.122191,0.189132,0.0681376,0.199914,0.242059,0.0982015,0.249966,0.1049,0.147564,0.185551,0.109208,0.0992828,0.179588,0.194843,0.310765,0.168884,0.136801,0.145833,0.168865,0.201523,0.103776,0.222342,0.252899,0.191877,0.190368,0.146895,0.104903,0.189679,0.337425,0.0843302,0.174619,0.14148,0.185504,0.0541168,0.152499,0.0963348,0.186798,0.208665,0.154565,0.227628,0.127426,0.0832886,0.132218,0.254365,0.120184,0.183729,0.116396,0.181821,0.165492,0.147457,0.104205,0.0465434,0.180686,0.139746,0.22214,0.0967479,0.0933187,0.135721,0.234246,0.115761,0.128914,0.0933319,0.212538,0.132035,0.131553,0.146421,0.22112,0.176254,0.114917,0.22835,0.180054,0.290362,0.188173,0.0893036,0.186543,0.16146,0.259539,0.24088,0.168708,0.17424,0.183369,0.183329,0.310036,0.169886,0.170935,0.0575473, 
450,0.120206,0.32022,0.124193,0.137165,0.211838,0.121595,0.224125,0.322114,0.0913269,0.176479,0.132017,0.188516,0.0991231,0.253674,0.255913,0.108219,0.185646,0.0893728,0.187723,0.209771,0.286389,0.212811,0.428122,0.13093,0.0618907,0.157346,0.123465,0.150213,0.186411,0.171693,0.15199,0.359826,0.0833252,0.126524,0.246029,0.240399,0.222461,0.22477,0.262374,0.147596,0.11884,0.109882,0.113092,0.127793,0.226426,0.0884847,0.0513438,0.167801,0.204699,0.121264,0.161653,0.380606,0.149208,0.188491,0.286534,0.125939,0.179026,0.125629,0.199938,0.132328,0.203495,0.0999257,0.141924,0.121435,0.171,0.120651,0.222754,0.0898743,0.0821635,0.274512,0.225937,0.158826,0.136246,0.121592,0.102768,0.130209,0.10091,0.0925374,0.145812,0.217675,0.175022,0.06928,0.186165,0.0869273,0.215148,0.180262,0.110236,0.295639,0.0948222,0.140946,0.142824,0.281161,0.446186,0.179348,0.112003,0.14859,0.129133,0.219217,0.235067,0.126263,0.173273,0.0768901, 
480,0.0806346,0.139987,0.113304,0.11283,0.199097,0.079719,0.185848,0.296009,0.208601,0.160274,0.19641,0.199575,0.152214,0.0680013,0.107321,0.198281,0.0740295,0.099175,0.13502,0.0838389,0.206701,0.090685,0.190916,0.150597,0.0739441,0.352009,0.134296,0.0930898,0.113429,0.112408,0.267426,0.058846,0.099764,0.130808,0.172296,0.237507,0.0750783,0.204211,0.156683,0.067337,0.104134,0.188467,0.122197,0.143039,0.0893453,0.18173,0.157078,0.100859,0.118145,0.187456,0.121296,0.133357,0.160704,0.097995,0.0647013,0.463729,0.203816,0.123673,0.183928,0.186753,0.095342,0.148564,0.081484,0.175858,0.0928009,0.11323,0.134874,0.0454173,0.218675,0.163013,0.238702,0.247007,0.268102,0.153095,0.0893839,0.147069,0.0815165,0.146563,0.232237,0.248059,0.103802,0.152498,0.244423,0.147592,0.237286,0.17705,0.0673472,0.304615,0.141905,0.12044,0.200143,0.146499,0.286255,0.133476,0.224791,0.106961,0.16082,0.0762472,0.141427,0.244061,0.155492,0.0700266, 
510,0.132824,0.0912537,0.205276,0.159341,0.0924866,0.0808604,0.325847,0.203229,0.107632,0.159248,0.190449,0.148271,0.274904,0.242145,0.13901,0.0731201,0.137106,0.140728,0.233444,0.235255,0.266388,0.145861,0.118705,0.654424,0.274179,0.132172,0.165757,0.1079,0.178205,0.10769,0.164039,0.130683,0.0739309,0.0928131,0.167727,0.0812347,0.166542,0.0730001,0.1481,0.180634,0.146576,0.069161,0.149843,0.170824,0.254679,0.15341,0.106246,0.209412,0.197343,0.124521,0.084908,0.216987,0.124013,0.220528,0.240585,0.158515,0.13737,0.286996,0.154682,0.157142,0.116063,0.146423,0.185503,0.120534,0.0980174,0.130955,0.196053,0.24905,0.0801402,0.243053,0.185775,0.132883,0.0599365,0.105959,0.112824,0.134914,0.210162,0.159511,0.274152,0.192711,0.151232,0.130465,0.206134,0.0929037,0.129136,0.0942484,0.153245,0.214502,0.166846,0.215161,0.124068,0.114681,1,0.118254,0.268222,0.216659,0.214965,0.125653,0.107944,0.31005,0.174551,0.113563, 
540,0.126107,0.154596,0.159875,0.121191,0.14162,0.248177,0.24024,0.162455,0.14164,0.185669,0.400543,0.280007,0.303448,0.0730225,0.1238,0.232945,0.209664,0.05625,0.191911,0.102195,0.155265,0.127576,0.119076,0.263562,0.128483,0.213147,0.20554,0.156669,0.147563,0.112362,0.0486877,0.155756,0.253798,0.161005,0.24636,0.238584,0.2447,0.162154,0.405595,0.127065,0.738847,0.0611125,0.128261,0.365053,0.165145,0.0976746,0.0668152,0.26252,0.0884542,0.166239,0.179688,0.17097,0.201884,0.11307,0.186804,0.146138,0.196189,0.276408,0.128542,0.160944,0.214636,0.135549,0.148684,0.161434,0.158628,0.149896,0.136483,0.124396,0.107473,0.189256,0.108441,0.115873,0.270911,0.123163,0.135457,0.264701,0.0994242,0.280725,0.147567,0.154862,0.170268,0.16709,0.0867859,0.174862,0.358557,0.109733,0.123362,0.151943,0.201737,0.102028,0.172408,0.120032,0.209007,0.0631185,0.0664368,0.214402,0.117664,0.162474,0.141874,0.135042,0.175054,0.0911495, 
570,0.0849365,0.165033,0.14354,0.178558,0.127716,0.129824,0.066628,0.230233,0.0952047,0.0895508,0.187122,0.0732157,0.211267,0.164652,0.0538879,0.133238,0.138554,0.137231,0.152661,0.200655,0.241608,0.103017,0.175553,0.186125,0.460858,0.185876,0.121653,0.183026,0.211939,0.143121,0.179293,0.177034,0.169175,0.1631,0.135581,0.153186,0.162724,0.158474,0.20233,0.181453,0.137262,0.734123,0.252319,0.135215,0.178727,0.337437,0.174335,0.244273,0.189734,0.398765,0.171983,0.212274,0.170355,0.119716,0.125926,0.13724,0.129443,0.0660563,0.135038,0.126784,0.176778,0.06828,0.15259,0.246962,0.16156,0.118323,0.142928,0.284149,0.189333,0.281453,0.142151,0.137701,0.146556,0.0715373,0.168402,0.103575,0.11814,0.111416,0.124215,0.181875,0.191522,0.261387,0.042686,0.763462,0.1861,0.160142,0.228707,0.18288,0.155351,0.169267,0.199422,0.0868815,0.0866048,0.154651,0.174874,0.0953389,0.104189,0.182302,0.127559,0.101622,0.174187,0.10486, 
600,0.150948,0.103123,0.0717204,0.132874,0.28479,0.27408,0.16614,0.174209,0.0979573,0.17109,0.158341,0.152173,0.153373,0.139384,0.0970154,0.123071,0.157969,0.243488,0.147864,0.140281,0.152376,0.107965,0.105391,0.131179,0.215861,0.211981,0.112274,0.170341,0.303841,0.120449,0.132231,0.224788,0.123185,0.130823,0.0929484,0.178013,0.286538,0.209951,0.407456,0.151595,0.167428,0.201453,0.170823,0.175275,0.17545,0.175728,0.286696,0.110665,0.153306,0.228945,0.157041,0.10634,0.179976,0.0874634,0.18996,0.105001,0.111867,0.167735,0.292293,0.0680766,0.120996,0.136523,0.137882,0.156633,0.1275,0.173352,0.192023,0.701202,0.157412,0.172841,0.125981,0.113776,0.140647,0.103194,0.0723206,0.110282,0.254635,0.132985,0.15741,0.151528,0.173224,0.108569,0.138841,0.0927836,0.243693,0.124795,0.198295,0.132928,0.163564,0.179183,0.193099,0.150547,0.131352,0.176078,0.159037,0.159989,0.128652,0.16247,0.109536,0.157107,0.165435,0.0778336, 
630,0.152427,0.243372,0.244808,0.172278,0.191779,0.164199,0.235679,0.250326,0.150275,0.120758,0.0989848,0.117483,0.127852,0.0869426,0.130107,0.156419,0.110008,0.158319,0.15942,0.0879435,0.108215,0.119501,0.168614,0.192586,0.529323,0.117645,0.140721,0.133122,0.238076,0.128312,0.187016,0.16168,0.128904,0.191508,0.163723,0.164113,0.181858,0.118882,0.151792,0.232247,0.141958,0.142033,0.351493,0.223543,0.107933,0.0409566,0.419946,0.304073,0.104895,0.119607,0.139988,0.143862,0.192483,0.0661092,0.213599,0.115973,0.304832,0.142096,0.41783,0.24494,0.175354,0.0820577,0.295569,0.131744,0.626221,0.126398,0.101027,0.163831,0.374396,0.0918681,0.0984273,0.156114,0.104116,0.164939,0.206561,0.195896,0.312124,0.46359,0.0992818,0.324674,0.188548,0.100167,0.1666,0.111918,0.0854818,0.178965,0.124473,0.270728,0.132324,0.211473,0.149282,0.122162,0.148295,0.231645,0.106297,0.190582,0.151369,0.262671,0.201459,0.200722,0.182847,0.097007, 
660,0.117175,0.229702,0.095223,0.169942,0.170011,0.197174,0.176341,0.264193,0.185339,0.116372,0.135331,0.145455,0.129397,0.110268,0.151711,0.11287,0.0776367,0.241189,0.101727,0.0738424,0.191296,0.157322,0.139366,0.128015,0.119027,0.142436,0.107035,0.239077,0.138568,0.287518,0.140527,0.0940104,0.259408,0.165257,0.131633,0.07323,0.135649,0.178721,0.103241,0.167753,0.154696,0.214126,0.229628,0.0733581,0.151259,0.0756999,0.148006,0.196574,0.135,0.278632,0.11192,0.446598,0.392755,0.178084,0.277901,0.155328,0.132619,0.337386,0.158818,0.141897,0.115977,0.112183,0.117971,0.096342,0.410138,0.107418,0.087557,0.104364,0.258931,0.098234,0.117845,0.128725,0.188082,0.185496,0.112876,0.212793,0.49362,0.240253,0.146899,0.646177,0.162315,0.420418,0.111582,0.0909587,0.159939,0.183156,0.186812,0.160653,0.207088,0.138967,0.133781,0.142548,0.134583,0.322656,0.170764,0.237891,0.195898,0.423551,0.355235,0.167432,0.181784,0.099176, 
690,0.312956,0.481063,0.540944,0.421047,0.541569,0.454362,0.409835,0.358114,1.21616,0.566837,0.372439,0.455371,0.536851,0.84753,0.561194,0.392572,0.629919,0.535754,0.625889,0.451971,0.501845,0.286611,0.291471,0.306034,0.288493,0.20839,0.403668,0.155835,0.267421,0.260901,0.382593,0.364899,0.363641,0.431828,0.371519,0.407943,0.690127,0.420351,0.39977,0.400348,0.325848,0.333134,0.396621,0.515161,0.295966,0.360429,0.291496,0.600376,0.399461,0.348901,0.521999,0.5125,0.57949,0.260374,0.327144,0.446714,0.309721,0.484627,0.418445,0.257662,0.39588,0.640656,0.271002,0.59826,0.144934,0.626978,0.545848,0.14196,0.425124,0.580768,0.55694,0.323027,0.491504,0.558449,0.54633,0.283866,0.22394,0.359391,0.452476,0.365538,0.446173,0.466209,0.391241,0.306873,0.309536,0.325558,0.423,0.350073,0.594,0.319434,0.310073,0.347339,0.705267,0.540898,0.534092,0.365328,0.731889,0.422257,0.469979,0.48561,0.432799,0.153758, 
