Statistic, Task, 0 min, 10 min, 20 min, 30 min, 40 min, 50 min, 60 min, 70 min, 80 min, 90 min, 100 min, 110 min, Sum
Utilization, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 5, 0, 0, 0, 0.0120911, 0, 0.0290146, 0.0404572, 0, 0, 0, 0, 0, 0.0815628
, 6, 0.00928836, 0, 0.0384333, 0, 0.0053421, 0, 0, 0.0196594, 0, 0, 0, 0, 0.0727232
, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 8, 0.0294303, 0, 0, 0, 0.0126297, 0.0198383, 0.00525589, 0, 0, 0, 0, 0.00150604, 0.0686603
, Sum, 0.0387187, 0, 0.0384333, 0.0120911, 0.0179718, 0.0488529, 0.045713, 0.0196594, 0, 0, 0, 0.00150604, 0.222946


Avg Service Time, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 5, 0, 0, 0, 0.120911, 0, 0.290146, 0.404572, 0, 0, 0, 0, 0, 0.815628
, 6, 0.0928836, 0, 0.384333, 0, 0.053421, 0, 0, 0.196594, 0, 0, 0, 0, 0.727232
, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 8, 0.294303, 0, 0, 0, 0.126297, 0.198383, 0.0525589, 0, 0, 0, 0, 0.0150604, 0.686603
, Sum, 0.387187, 0, 0.384333, 0.120911, 0.179718, 0.488529, 0.45713, 0.196594, 0, 0, 0, 0.0150604, 2.22946


Avg Wait Time, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, Sum, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0


Number In, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 5, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 3
, 6, 1, 0, 2, 0, 1, 0, 0, 1, 0, 0, 0, 0, 5
, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 8, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 5
, Sum, 2, 0, 2, 1, 2, 2, 2, 1, 0, 0, 0, 1, 13


Number Out, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 5, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 3
, 6, 1, 0, 2, 0, 1, 0, 0, 1, 0, 0, 0, 0, 5
, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 8, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 5
, Sum, 2, 0, 2, 1, 2, 2, 2, 1, 0, 0, 0, 1, 13


