Statistic Type, Time (min), Run 0, Run 1, Run 2, Run 3, Run 4, Run 5, Run 6, Run 7, Run 8, Run 9, Mean, Std Dev
Avg Wait Time, 0, 2.04721, 1.92541, 2.89427, 0.439499, 4.68511, 3.73801, 3.03487, 2.2803, 0.512436, 1.42428, 2.29814, 1.34487, 
, 1, 2.20773, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.220773, 0.698146, 
, 2, 27.0785, 19.715, 5.91503, 21.2007, 16.0738, 23.5909, 22.0075, 20.5056, 28.2588, 9.82304, 19.4169, 7.07882, 
, 3, 0, 0, 1.36462, 0, 0, 0, 0, 0.791992, 0, 0.544342, 0.270096, 0.477987, 
, 4, 0, 0, 0.366989, 0, 0.321808, 0.581451, 0, 0, 0.503563, 0, 0.177381, 0.239273, 
, 5, 0.85228, 1.57324, 1.2137, 10.7204, 1.4473, 9.5987, 3.79501, 1.77829, 1.55378, 0, 3.25327, 3.77082, 
, 6, 4.11768, 9.00401, 0.815147, 0.496582, 5.06075, 2.87976, 1.48073, 0.599698, 0.383942, 0.627548, 2.54659, 2.8104, 
, 7, 4.43151, 3.65899, 1.43657, 8.68092, 6.41988, 6.13061, 2.90716, 3.55991, 4.6942, 3.25449, 4.51742, 2.07975, 
, 8, 2.68532, 0.415771, 5.97799, 3.88702, 0.918755, 8.17067, 0.183014, 1.61163, 0, 0.467452, 2.43176, 2.77984, 


Number In, 0, 72, 83, 73, 67, 67, 73, 72, 63, 79, 53, 70.2, 8.37722, 
, 1, 4, 1, 0, 1, 1, 2, 0, 1, 0, 1, 1.1, 1.19722, 
, 2, 30, 30, 22, 23, 28, 25, 37, 25, 28, 18, 26.6, 5.25357, 
, 3, 1, 0, 2, 0, 0, 1, 0, 2, 0, 2, 0.8, 0.918937, 
, 4, 9, 4, 10, 8, 6, 11, 8, 6, 14, 6, 8.2, 2.93636, 
, 5, 33, 28, 23, 27, 28, 30, 26, 34, 23, 28, 28, 3.65148, 
, 6, 26, 26, 24, 28, 31, 25, 32, 21, 24, 27, 26.4, 3.30656, 
, 7, 49, 62, 43, 57, 52, 54, 50, 56, 47, 49, 51.9, 5.50656, 
, 8, 21, 19, 21, 17, 25, 13, 18, 17, 12, 24, 18.7, 4.24395, 


Number Out, 0, 71, 82, 71, 67, 67, 72, 71, 63, 78, 53, 69.5, 7.94775, 
, 1, 3, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0.8, 0.918937, 
, 2, 30, 30, 22, 22, 28, 25, 37, 24, 28, 18, 26.4, 5.37897, 
, 3, 1, 0, 2, 0, 0, 1, 0, 2, 0, 2, 0.8, 0.918937, 
, 4, 9, 4, 10, 8, 6, 11, 8, 6, 14, 6, 8.2, 2.93636, 
, 5, 33, 28, 23, 27, 28, 30, 25, 34, 22, 28, 27.8, 3.88158, 
, 6, 26, 26, 24, 28, 31, 25, 32, 21, 24, 27, 26.4, 3.30656, 
