Statistic Type, Time (min), Run 0, Run 1, Run 2, Run 3, Run 4, Run 5, Run 6, Run 7, Run 8, Run 9, Run 10, Run 11, Run 12, Run 13, Run 14, Run 15, Run 16, Run 17, Run 18, Run 19, Run 20, Run 21, Run 22, Run 23, Run 24, Run 25, Run 26, Run 27, Run 28, Run 29, Run 30, Run 31, Run 32, Run 33, Run 34, Run 35, Run 36, Run 37, Run 38, Run 39, Run 40, Run 41, Run 42, Run 43, Run 44, Run 45, Run 46, Run 47, Run 48, Run 49, Run 50, Run 51, Run 52, Run 53, Run 54, Run 55, Run 56, Run 57, Run 58, Run 59, Run 60, Run 61, Run 62, Run 63, Run 64, Run 65, Run 66, Run 67, Run 68, Run 69, Run 70, Run 71, Run 72, Run 73, Run 74, Run 75, Run 76, Run 77, Run 78, Run 79, Run 80, Run 81, Run 82, Run 83, Run 84, Run 85, Run 86, Run 87, Run 88, Run 89, Run 90, Run 91, Run 92, Run 93, Run 94, Run 95, Run 96, Run 97, Run 98, Run 99, Mean, Std Dev

Avg Service Time, 0, 4.06464, 4.38761, 3.57512, 3.87338, 2.52768, 3.6317, 3.69395, 3.68117, 3.47841, 3.19793, 3.4025, 2.67941, 3.44027, 4.05441, 2.63015, 2.96241, 2.70675, 2.17396, 4.73208, 4.75633, 2.25574, 4.63925, 3.36736, 3.77607, 3.05431, 4.07157, 2.42576, 5.30461, 3.04897, 1.98479, 3.90479, 2.69397, 3.90163, 2.78426, 3.43341, 2.47681, 4.5185, 4.10054, 3.13353, 3.9967, 3.43598, 3.64033, 3.7312, 3.33414, 3.49189, 4.36501, 3.02101, 4.33174, 3.91902, 2.28919, 4.1916, 3.92079, 2.41516, 4.68366, 2.42375, 4.54713, 5.1199, 3.03728, 4.71258, 3.41978, 4.03212, 2.09807, 4.07944, 2.57315, 3.82388, 4.86548, 3.74745, 3.44775, 2.68452, 3.98803, 1.91337, 4.13353, 2.41253, 4.75042, 2.954, 3.12366, 3.09947, 2.53604, 3.83151, 3.41382, 2.33678, 3.47312, 5.59419, 3.98303, 4.94831, 2.453, 2.50965, 3.95045, 1.70577, 2.64088, 4.32657, 3.35843, 4.32816, 3.13645, 2.90344, 3.47538, 2.5322, 2.48899, 3.15923, 3.5527, 3.46918, 0.838899, 
, 1, 0.755993, 0, 0, 0, 2.54696, 0, 0, 0, 0, 0, 0, 0, 0, 2.54696, 0, 0, 0, 2.7544, 0, 0, 0, 0, 0, 0, 0, 0, 20.9368, 0, 0, 0, 2.76009, 0, 0, 0, 0, 0, 0, 0, 0, 2.76009, 0, 1.48713, 0, 1.30731, 0, 0, 0, 0, 0, 0, 0, 0, 1.30731, 0, 3.871, 0, 10.8907, 0, 0, 0, 0, 0, 0, 3.87101, 0, 10.8907, 0, 0.352325, 0, 0, 0, 0, 0, 0, 0, 0, 0.352325, 0, 0, 0, 0.704468, 0, 0, 0, 0, 0, 0, 0, 0, 0.704468, 0, 0, 0, 3.51682, 0, 0, 0, 0, 0, 0, 0.743169, 2.67029, 
, 2, 24.7092, 27.3226, 14.7113, 23.8388, 20.8878, 19.0097, 29.6451, 18.8667, 21.0531, 16.0687, 17.1965, 24.1374, 20.2172, 18.9725, 18.665, 18.796, 28.0491, 18.8541, 12.8118, 29.9411, 15.0045, 22.4534, 15.66, 23.7365, 21.0649, 28.4194, 19.4088, 14.9299, 24.2767, 19.2397, 24.1947, 14.7317, 16.892, 18.6813, 22.1614, 28.3507, 20.3412, 21.7893, 20.8381, 16.5797, 22.5325, 24.5952, 18.3277, 27.307, 16.669, 25.4214, 23.9732, 16.8331, 25.8721, 18.3799, 17.4711, 27.6173, 12.179, 25.6979, 28.6717, 19.6027, 27.4313, 15.0121, 23.7508, 14.9735, 20.6038, 17.8528, 22.1243, 28.8054, 25.2173, 19.5887, 19.5526, 26.961, 9.57174, 28.7678, 17.4237, 30.4046, 17.3237, 21.349, 20.4351, 20.3858, 19.1381, 23.1375, 19.8432, 18.6452, 32.9229, 21.845, 29.6601, 18.9239, 17.2191, 25.4952, 7.85916, 17.1053, 28.4989, 18.4179, 28.3797, 14.4646, 14.9663, 23.1627, 16.3652, 17.3981, 26.5872, 16.5609, 25.2016, 25.3396, 21.1833, 5.01537, 
, 3, 0.282928, 0, 1.30382, 0, 0, 0, 0, 0.925629, 0, 0.633263, 0, 0.340889, 0, 1.19299, 0, 1.55147, 0, 0, 0, 0, 0.691223, 0, 0.398857, 0, 1.52863, 0, 1.44064, 0, 0.354744, 0, 0, 0.749191, 0, 0.456818, 0, 0.997452, 0, 1.05982, 0, 1.65182, 0, 0.953339, 0, 0, 2.2514, 0, 0.222412, 0, 0.763046, 0, 1.42401, 0, 1.10294, 0, 0.718933, 0, 0, 0, 0, 0.821007, 0, 0.528633, 0, 1.71103, 0, 0.776894, 0, 0, 0, 0, 0.878967, 0, 0.586601, 0, 0.294228, 0, 1.23976, 0, 0.542488, 0, 0, 0, 0, 0.644562, 0, 0.352196, 0, 0.892822, 0, 1.81673, 0, 0.308083, 0, 0, 0, 0, 0.410156, 0, 0.95079, 0, 0.357512, 0.538313, 
, 4, 0.604988, 0, 0.377132, 0, 0.436455, 0, 0.296062, 0, 0.846844, 0.48547, 1.04201, 0.345078, 0, 0.73476, 0, 0.464291, 0, 0.323895, 0, 0.440338, 0.113304, 0.612476, 0.37291, 0.784618, 0.232517, 0, 0.842831, 0, 0.35173, 0, 0.211334, 0, 0.959255, 0, 0.7314, 0.260349, 0.190153, 0.119957, 0, 0.561752, 0, 0.23917, 0, 0.498775, 0, 1.05744, 0, 0.852612, 0.147789, 0.477594, 0.508533, 0, 1.14053, 0, 0.12661, 0, 0.386215, 0, 0.526035, 0.175625, 0.721199, 0.43523, 0.365034, 0.813953, 0, 0.154442, 0, 0.414047, 0, 0.743874, 0, 0.516018, 0.463062, 0.392868, 0.32267, 0, 0.346371, 0, 0.441883, 0, 0.301487, 0, 0.462795, 0, 0.634937, 0.350506, 0.280308, 0.21011, 0, 0.865292, 0, 0.329323, 0, 0.188927, 0, 0.736637, 0, 1.34019, 0.237946, 0.167747, 0.311157, 0.322438, 
, 5, 1.28906, 1.72535, 0.263203, 2.60692, 1.35212, 2.90704, 1.07759, 3.21558, 1.93889, 1.96228, 1.59588, 1.06763, 2.69234, 1.04509, 1.89663, 0.782124, 3.42066, 1.03973, 2.54893, 0.959427, 1.45474, 1.83905, 2.7211, 2.00131, 0.7314, 2.39008, 0.919056, 1.44492, 0.696106, 2.28571, 1.31208, 2.94441, 1.6978, 1.89006, 2.15302, 1.83663, 1.80702, 1.57905, 1.62727, 0.925415, 2.20168, 0.964691, 2.77797, 0.885736, 2.1833, 1.42309, 2.27235, 1.62796, 1.96776, 0.923324, 1.76091, 3.34951, 1.30812, 3.29421, 1.23328, 1.94231, 0.948053, 2.27509, 1.2495, 2.99472, 2.66033, 1.86719, 1.74265, 0.617508, 1.88783, 0.685661, 2.26222, 0.63343, 2.16253, 1.43686, 2.33421, 2.29348, 0.855667, 2.25461, 0.634933, 1.79466, 0.392387, 2.81836, 1.32826, 2.86579, 0.694357, 1.89834, 1.59504, 1.17639, 1.96303, 2.5094, 1.97618, 1.48555, 2.63186, 1.27736, 1.9123, 0.959095, 1.70741, 0.469236, 2.95714, 1.72032, 2.69561, 2.10085, 3.46511, 1.40717, 1.77357, 0.762098, 
, 6, 0.298703, 0.195686, 0.853745, 0.628895, 1.34056, 0.503791, 0.817162, 0.717753, 0.425259, 0.427206, 0.00222969, 0.703309, 0.498215, 0.748199, 0.396338, 1.09174, 0.597993, 0.975282, 0.341012, 0.418121, 0.513567, 1.01895, 0.748594, 0.176743, 1.17463, 0.471268, 0.697042, 0.168238, 0.530644, 0.246853, 1.56608, 0.763191, 0.363661, 1.21533, 0.212276, 0.791317, 0.403578, 0.402378, 0.184084, 1.4512, 0.61563, 1.26402, 0.434193, 0.437428, 0.325828, 0.406666, 0.585417, 0.798912, 0.251846, 0.423964, 1.69519, 0.415413, 1.39958, 1.02806, 0.630952, 0.153514, 0.737302, 0.225378, 0.829821, 1.15146, 0.385235, 0.776239, 0.425493, 0.285512, 0.57235, 0.498996, 0.157701, 1.1465, 0.609688, 0.981338, 0.884734, 0.175213, 0.666904, 0.430168, 0.426266, 0.133907, 1.12101, 0.597567, 0.880711, 0.490814, 0.482129, 1.1483, 0.259953, 0.819067, 0.511889, 1.03568, 0.151218, 1.3514, 1.03612, 0.326337, 0.750641, 0.379338, 0.163065, 0.913, 1.10496, 0.60421, 0.765162, 0.201351, 0.990869, 0.137844, 0.636702, 0.370774, 
, 7, 0.846539, 1.0885, 0.785568, 1.24954, 0.895877, 1.71872, 1.02295, 0.935369, 0.324581, 0.543871, 1.12239, 1.67412, 1.8374, 0.49712, 1.83482, 1.17803, 0.942315, 1.11933, 0.925831, 0.873424, 1.83679, 1.09562, 0.683802, 1.52062, 0.513936, 1.55115, 0.47594, 1.40981, 0.561589, 2.42464, 1.14071, 1.00212, 1.87816, 0.739143, 1.47226, 1.00374, 0.68285, 1.1871, 1.58279, 1.35766, 2.10894, 0.807254, 1.30916, 1.61506, 1.72018, 0.728398, 1.44102, 1.1425, 1.46597, 2.47257, 0.929629, 1.26172, 1.40584, 1.06468, 0.65316, 1.58743, 0.300136, 1.13102, 1.47708, 1.01822, 2.17721, 0.970493, 1.11204, 0.596141, 0.918369, 0.200865, 1.74884, 1.55324, 1.59063, 0.905804, 0.645601, 1.82103, 0.627533, 0.933367, 1.14252, 1.77841, 0.86674, 1.94927, 1.266, 0.579417, 1.57435, 0.914841, 0.817014, 1.14747, 2.08917, 1.7017, 2.2098, 1.09525, 1.55815, 0.848319, 0.503996, 0.787983, 1.67224, 1.5692, 1.8208, 1.31832, 1.83721, 1.1593, 0.520985, 0.634908, 1.20341, 0.499624, 
, 8, 1.30426, 1.2992, 2.57201, 0.865599, 1.66222, 1.56166, 1.29667, 1.01177, 0.706451, 1.84737, 1.25488, 1.15238, 0.438534, 2.88188, 1.48374, 2.6116, 0.324179, 1.14507, 1.01199, 3.30829, 1.57871, 0.743732, 2.77218, 0.0842781, 0.76803, 0.406265, 1.35543, 0.557194, 3.42723, 0.592737, 2.65395, 2.13008, 1.08535, 0.944511, 0.713039, 0.971052, 0.951096, 2.65613, 0.755287, 4.57932, 0.737597, 1.10807, 0.226686, 1.40289, 0.596628, 1.17078, 0.694031, 0.843323, 3.95404, 0.449963, 1.80669, 0.932518, 1.42145, 0.298275, 1.67822, 0.552929, 2.68216, 2.85701, 1.17956, 1.39709, 0.434742, 0.731584, 1.06733, 0.912137, 0.391287, 2.68756, 0.69957, 1.21856, 1.59433, 0.720997, 1.48327, 0.644997, 1.26041, 0.197746, 1.78794, 0.375202, 2.38323, 0.917439, 1.00205, 1.51682, 0.727974, 0.522392, 0.951744, 2.56972, 1.45944, 2.76816, 0.0612373, 2.5024, 0.342022, 1.21367, 0.340612, 1.44843, 0.499022, 3.12236, 1.89852, 1.29177, 2.39276, 0.0901108, 0.444418, 0.722359, 1.32852, 0.917013, 
