Statistic Type, Time (min), Rep 0, Rep 1, Rep 2, Rep 3, Rep 4, Rep 5, Rep 6, Rep 7, Rep 8, Rep 9, Rep 10, Rep 11, Rep 12, Rep 13, Rep 14, Rep 15, Rep 16, Rep 17, Rep 18, Rep 19, Rep 20, Rep 21, Rep 22, Rep 23, Rep 24, Rep 25, Rep 26, Rep 27, Rep 28, Rep 29, Rep 30, Rep 31, Rep 32, Rep 33, Rep 34, Rep 35, Rep 36, Rep 37, Rep 38, Rep 39, Rep 40, Rep 41, Rep 42, Rep 43, Rep 44, Rep 45, Rep 46, Rep 47, Rep 48, Rep 49, Rep 50, Rep 51, Rep 52, Rep 53, Rep 54, Rep 55, Rep 56, Rep 57, Rep 58, Rep 59, Rep 60, Rep 61, Rep 62, Rep 63, Rep 64, Rep 65, Rep 66, Rep 67, Rep 68, Rep 69, Rep 70, Rep 71, Rep 72, Rep 73, Rep 74, Rep 75, Rep 76, Rep 77, Rep 78, Rep 79, Rep 80, Rep 81, Rep 82, Rep 83, Rep 84, Rep 85, Rep 86, Rep 87, Rep 88, Rep 89, Rep 90, Rep 91, Rep 92, Rep 93, Rep 94, Rep 95, Rep 96, Rep 97, Rep 98, Rep 99, Mean, Std Dev
, 4, 1.10343, 0.386667, 1.50201, 0, 0.470875, 0.848648, 1.4385, 0.867805, 0.144875, 0.691219, 0.936312, 0.826038, 0.473793, 0, 0.290726, 0.233795, 0.951492, 0, 0.280807, 1.19351, 0, 1.31544, 0.359676, 0.843746, 0.637001, 1.80522, 2.12674, 1.48964, 0.129608, 1.42173, 0.526638, 1.55324, 0.162682, 0.738932, 0.618462, 0.34045, 0.934044, 0.853436, 0.597321, 0.8272, 0.500031, 0.414856, 0.955849, 0.450287, 0, 0.882782, 0.418411, 0.106472, 1.1288, 1.22285, 1.06726, 0.801697, 0.105957, 0.902294, 0, 0, 0.25108, 1.02703, 0.390888, 1.61217, 0.236675, 0.432884, 0.549709, 0.411615, 1.60904, 0.991108, 1.04902, 1.29397, 0.709095, 1.36722, 0.790104, 1.68296, 0, 1.0569, 0.323338, 1.47479, 1.42738, 0.64415, 0.464233, 0, 0.916092, 0.630882, 0.41148, 0.486996, 0.502872, 0.76733, 0.264984, 0.942017, 0.594742, 0.881969, 0.444328, 0.626469, 0, 1.09824, 0, 0.635315, 1.85653, 0.44186, 0, 0.460453, 0.706372, 0.503258, 
, 5, 2.29794, 2.49642, 2.23328, 4.3113, 1.68488, 3.57565, 2.87839, 4.49785, 1.54936, 1.50441, 3.26546, 1.36284, 3.49149, 2.66004, 3.20834, 2.07784, 0.778428, 2.11616, 2.53949, 2.57861, 3.86484, 0.927368, 3.69646, 3.22541, 2.15987, 2.94649, 3.61495, 3.38129, 2.62876, 2.17821, 0.486164, 4.89284, 1.95076, 2.23333, 3.42015, 2.37434, 2.84017, 3.84718, 1.41618, 2.18073, 0.961297, 3.70684, 2.16879, 1.2854, 3.35768, 2.09126, 4.40722, 2.28838, 4.369, 3.85627, 1.78178, 3.34969, 3.47997, 3.93453, 1.94735, 3.77398, 2.79412, 1.35437, 2.59663, 3.78545, 4.61009, 3.93491, 3.3771, 2.89473, 3.41183, 2.4574, 2.86926, 2.11158, 3.10308, 3.01341, 2.39877, 2.86956, 2.278, 1.7143, 1.64027, 1.5137, 1.36799, 3.08693, 4.85767, 3.39415, 3.14683, 1.26485, 2.21077, 3.12553, 2.01852, 1.07529, 2.7428, 3.26326, 1.9783, 2.64786, 1.9385, 3.78355, 4.07468, 2.57064, 2.83561, 3.66285, 1.58396, 3.52766, 2.34743, 1.0528, 2.7042, 0.987496, 
, 6, 0.737403, 0.746502, 2.10733, 1.68275, 1.27086, 1.0016, 0.484933, 2.09716, 0.10965, 1.39294, 1.35677, 0.880749, 1.03571, 1.1645, 0.873062, 0.791847, 0.867033, 1.42492, 1.94687, 0.557064, 1.12598, 2.27633, 0.407277, 0.630365, 0.921984, 1.69787, 2.14052, 2.36223, 2.7395, 0.970015, 1.8122, 0.796843, 0.664644, 0.996937, 0.724154, 1.1735, 1.11483, 1.36236, 1.75555, 1.87698, 0.642337, 1.38587, 2.05529, 0.463072, 0.82448, 0.328348, 1.4394, 1.08379, 1.44175, 2.095, 2.16649, 1.17737, 0.689532, 0.903906, 0.764046, 1.92496, 0.858805, 0.485832, 0.693758, 1.23138, 1.34376, 0.792358, 0.440693, 0.697128, 1.30167, 1.06521, 0.569318, 0.916205, 0.938519, 0.572279, 0.913843, 0.7726, 0.872777, 1.35487, 0.9951, 0.919306, 0.551704, 1.95797, 1.03806, 1.01656, 1.45256, 0.445101, 1.19041, 0.73399, 1.07999, 1.93302, 1.5465, 1.28987, 1.24425, 1.36037, 0.831871, 0.280575, 1.86467, 0.958004, 1.40202, 0.276279, 0.37437, 0.976362, 0.8433, 0.39467, 1.12243, 0.54445, 
, 7, 2.23945, 1.52794, 0.160671, 2.51078, 0.557027, 1.46509, 1.5505, 1.61414, 1.17563, 2.2537, 1.3627, 1.00614, 2.48176, 1.53641, 1.65383, 1.32882, 1.27603, 1.41828, 1.74367, 1.35856, 2.21227, 2.8165, 1.4782, 1.79116, 1.33708, 1.76306, 1.7027, 1.58582, 3.08477, 1.52288, 2.34722, 2.30957, 1.39343, 1.55713, 1.66536, 1.39883, 1.78227, 2.12546, 0.681818, 2.37388, 1.94386, 1.72105, 2.18527, 0.918989, 2.848, 2.59325, 1.41358, 2.20873, 1.9534, 0.925341, 1.5458, 2.57217, 1.26847, 1.18497, 2.17758, 1.10291, 3.50058, 0.513848, 1.24181, 2.14336, 1.1351, 2.59133, 1.47469, 1.12727, 1.4247, 1.30479, 1.47111, 0.805989, 3.01517, 2.10703, 2.69835, 2.38857, 2.58329, 2.02987, 0.799803, 2.39302, 2.68724, 1.94969, 1.46365, 1.51485, 2.00783, 1.50304, 2.32593, 1.72558, 1.48027, 1.62102, 1.66943, 1.51217, 1.6114, 1.95904, 1.58507, 2.3339, 2.31434, 1.47858, 1.93261, 3.44844, 1.93913, 0.920863, 1.11883, 1.67083, 1.76237, 0.626196, 
, 8, 1.4057, 4.11468, 1.83248, 2.64186, 2.30695, 0.629166, 3.24154, 0.748346, 3.40042, 1.64795, 1.45699, 1.05995, 3.23542, 1.89811, 0.825478, 1.4118, 2.06756, 1.28579, 0.909115, 1.82093, 3.85489, 2.18266, 0.787941, 1.35346, 0.551552, 3.20493, 1.7771, 2.73179, 1.97023, 1.02412, 5.68105, 2.26707, 1.92043, 0.903412, 2.47831, 0.052021, 0.98856, 2.36137, 1.26179, 0.748794, 2.15229, 1.88625, 2.74235, 1.60818, 0.504082, 1.96001, 1.42668, 4.13194, 1.12699, 2.51724, 0.746337, 1.10035, 2.29383, 3.51403, 3.17815, 2.95585, 2.13732, 1.22983, 2.54012, 2.32343, 0.799229, 1.86159, 4.05367, 4.56276, 0.8241, 3.74243, 2.74369, 1.78367, 0.752857, 2.35244, 1.83546, 2.51786, 2.07316, 1.35672, 1.38816, 1.87518, 1.77563, 2.09257, 1.7976, 0.28125, 4.43072, 1.48881, 1.20515, 1.61232, 2.65542, 2.40591, 2.35985, 1.59671, 1.69931, 4.06026, 1.1973, 1.38996, 4.04819, 1.4282, 1.47417, 0.78927, 3.60974, 2.72852, 1.44057, 2.35729, 2.02565, 1.07395, 


Avg Wait Time, 0, 0.176252, 0.0714813, 0.458679, 0.520893, 0.0251389, 0.0134811, 0.685591, 0.661507, 0.216637, 0.48307, 0, 0.172882, 0.0887375, 0.569679, 0.528152, 0, 0.415958, 0.245972, 0, 0.224915, 0.705074, 0, 0.512684, 0.936234, 1.47148, 0.357868, 14.6545, 0.335779, 0.56649, 0.0738487, 0.0307541, 0.0668945, 0, 0.100212, 0.274994, 0.267319, 0.106556, 0.0381851, 0.0327034, 0.0265579, 0.362305, 0.20131, 0, 0.0786133, 0.271904, 12.3849, 0.653898, 0, 5.00878, 0, 0.0233803, 0.443747, 12.342, 0.349833, 7.62939, 0, 0, 0.498484, 0.446957, 1.0137, 2.42223, 0, 0.160522, 0, 0.304319, 4.40722, 0, 0.0993605, 0.0209045, 0, 0.105782, 3.18669, 0.0980759, 0.29121, 0.680043, 3.4202, 0.782509, 0, 0.0886049, 0.0116329, 0.802341, 0.0986938, 0.100128, 0.222466, 0.00572968, 3.36155, 1.35588, 0.0637856, 0.0342865, 0.356636, 0.310261, 0.205173, 0.0134964, 0.103448, 0.607157, 0.753433, 0.350475, 0.14999, 0, 0.663841, 0.934644, 2.44159, 
, 1, 0, 0, 0, 0, 0, 0, 0, 0.101006, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.61406, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.105957, 0, 0, 0, 0, 0, 0, 0, 0.104095, 0, 0, 0, 0, 0.487606, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.297287, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0371001, 0.266933, 
, 2, 17.9898, 4.85188, 44.2429, 30.9277, 28.2042, 56.4455, 8.23098, 8.32438, 18.3732, 22.129, 11.9198, 3.83052, 28.6085, 20.3018, 4.6644, 31.7057, 47.2632, 7.74729, 57.3423, 26.7929, 7.90621, 7.01462, 21.9074, 10.773, 19.7538, 47.769, 32.9982, 16.8725, 3.89048, 12.8657, 5.39676, 15.0433, 10.8341, 1.76021, 32.5766, 27.7648, 20.2494, 11.3734, 15.2414, 2.41631, 13.1209, 19.8521, 12.5453, 22.904, 16.5016, 23.6065, 9.75196, 28.6241, 45.951, 47.8366, 1.8335, 20.7924, 13.5912, 32.9889, 29.4012, 48.8486, 53.2863, 14.8664, 35.9103, 35.2594, 8.67611, 0.603199, 5.03591, 17.352, 21.7136, 4.301, 12.6481, 1.9474, 25.6508, 12.9601, 30.3566, 5.48061, 23.7833, 16.0918, 14.1382, 11.5977, 9.36716, 13.5746, 7.06834, 17.8256, 28.2115, 18.4137, 10.1645, 20.4811, 16.8013, 10.0525, 13.7793, 27.5371, 2.57481, 33.567, 7.09258, 21.6845, 21.0052, 56.1805, 13.5072, 17.1008, 16.1681, 15.1084, 12.7082, 20.1336, 19.7422, 13.5639, 
