 Time (min), Rep 0, Rep 1, Rep 2, Rep 3, Rep 4, Rep 5, Rep 6, Rep 7, Rep 8, Rep 9, Rep 10, Rep 11, Rep 12, Rep 13, Rep 14, Rep 15, Rep 16, Rep 17, Rep 18, Rep 19, Rep 20, Rep 21, Rep 22, Rep 23, Rep 24, Rep 25, Rep 26, Rep 27, Rep 28, Rep 29, Rep 30, Rep 31, Rep 32, Rep 33, Rep 34, Rep 35, Rep 36, Rep 37, Rep 38, Rep 39, Rep 40, Rep 41, Rep 42, Rep 43, Rep 44, Rep 45, Rep 46, Rep 47, Rep 48, Rep 49, Rep 50, Rep 51, Rep 52, Rep 53, Rep 54, Rep 55, Rep 56, Rep 57, Rep 58, Rep 59, Rep 60, Rep 61, Rep 62, Rep 63, Rep 64, Rep 65, Rep 66, Rep 67, Rep 68, Rep 69, Rep 70, Rep 71, Rep 72, Rep 73, Rep 74, Rep 75, Rep 76, Rep 77, Rep 78, Rep 79, Rep 80, Rep 81, Rep 82, Rep 83, Rep 84, Rep 85, Rep 86, Rep 87, Rep 88, Rep 89, Rep 90, Rep 91, Rep 92, Rep 93, Rep 94, Rep 95, Rep 96, Rep 97, Rep 98, Rep 99, Mean, Std Dev
300,0.526028,0.0875549,0.0836395,0.136742,0.103471,0.101958,0.154255,0.0553762,0.0644796,0.244442,0.0731232,0.0874817,0.068398,0.11299,0.0878438,0.163736,0.132143,0.0576904,0.0187612,0.0667012,0.102895,0.185478,0.0768982,0.105175,0.0611206,0.0523102,0.147484,0.057251,0.0511973,0.029657,0.0639282,0.0955902,0.110011,0.113194,0.0771596,0.0931783,0.128183,0.115643,0.0559957,0.119902,0.0994731,0.0360229,0.117249,0.0843007,0.0613088,0.108272,0.17816,0.108633,0.14533,0.212454,0.048292,0.0465983,0.11093,0.0616852,0.279919,0.133546,0.06834,0.259265,0.150519,0.226601,0.197249,0.104021,0.0955414,0.0715485,0.0598206,0.13078,0.0459076,0.0206329,0.0869904,0.101197,0.0948598,0.0698415,0.643735,0.121389,0.0742371,0.0909485,0.0596008,0.13259,1,0.153344,0.106173,0.0497264,0.107629,0.0538717,0.183479,0.0872264,0.103002,0.0237417,0.254135,0.0956624,0.0987661,0.191214,0.117033,0.0480042,0.198917,0.0704926,0.153534,0.0901204,0.0289632,0.0826803,0.123046,0.124017
330,0.097408,0.159352,0.101006,0.217065,0.040567,0.0923574,0.0466685,0.127815,0.05578,0.199742,0.0723806,0.135577,0.100634,0.172255,0.054187,0.0694682,0.127988,0.00770569,0.0555491,0.0726695,0.0337341,0.118864,0.0584361,0.0647644,0.0926097,0.104497,0.0452586,0.0956197,0.0650777,0.124329,0.111805,0.0766724,0.0854136,0.10908,0.0255219,0.108752,0.0826558,0.0468252,0.0865662,0.207562,0.0436696,0.144005,0.0933034,0.111721,0.105027,0.0666219,0.168965,0.0604431,0.051888,0.0720368,0.154484,0.104811,0.0999044,0.0722595,0.12958,0.247764,0.0959696,0.0869009,0.104997,0.0980286,0.104101,0.667409,0.0759165,0.037734,0.128313,0.100901,0.0501577,0.129107,0.191139,0.104183,0.121562,0.0910126,0.0554606,0.0715749,0.0937591,0.116466,0.0834473,0.128541,0.109896,0.300399,0.0913055,0.0292908,0.124962,0.0526377,0.0953461,0.140661,0.169448,0.135572,0.34633,0.0907033,0.0721202,0.106029,0.109427,0.111518,0.196838,0.0556651,0.137853,0.119484,0.097998,0.0967926,0.110037,0.0778348
360,0.0439718,0.119638,0.0343272,0.0846476,0.182314,0.0732076,0.0896301,0.0966543,0.166796,0.0621816,0.17602,0.0249034,0.127899,0.107189,0.125851,0.134178,0.0881612,0.0778514,0.0818878,0.113239,0.0364563,0.162457,0.101843,0.199153,0.031191,0.146068,0.0929515,0.0306773,0.0869049,0.0343689,0.0683187,0.0469808,0.101786,0.120188,0.103038,0.0562744,0.0613149,0.07152,0.0924276,0.0524312,0.0671458,0.178204,0.0605611,0.0518972,0.133721,0.0839691,0.140292,0.178641,0.0855642,0.0757487,0.0842397,0.115989,0.111774,0.0737986,0.0595378,0.132162,0.0659505,0.0459585,0.308534,0.106361,0.0879028,0.109688,0.100176,0.0481486,0.140165,0.0847443,0.167657,0.11495,0.0674581,0.0913727,0.131747,0.393393,0.168432,0.0270874,0.0981272,0.0653178,0.176905,0.0622345,0.0600667,0.144648,0.130839,0.0638285,0.251328,0.136572,0.0263692,0.0802399,0.110682,0.158795,0.105339,0.0812703,0.118645,0.0820841,0.0642476,0.102119,0.0948151,0.076825,0.120344,0.0863464,0.125257,0.0886698,0.103118,0.0562557
390,0.0576396,0.0892812,0.161812,0.0520742,0.0833984,0.10684,0.0950592,0.0431895,0.0904439,0.0844045,0.109583,0.0534098,0.0630585,0.130407,0.128818,0.0436106,0.0463572,0.105896,0.0469035,0.115428,0.139591,0.0715454,0.0218536,0.0314453,0.120245,0.248935,0.173554,0.122942,0.0492279,0.113932,0.0365458,0.0857066,0.115048,0.165735,0.105927,0.101265,0.0693715,0.103655,0.069517,0.0134328,0.148195,0.1011,0.112265,0.0687266,0.0204285,0.0789937,0.0621104,0.0979655,0.0909312,0.072346,0.0499217,0.135966,0.0873718,0.163742,0.0927226,0.0597148,0.274101,0.0520844,0.0698547,0.125669,0.0499115,0.126175,0.0252045,0.101375,0.135723,0.053833,0.0526794,0.0377818,0.0844279,0.0696279,0.0804586,0.288498,0.218517,0.20024,0.0764821,0.163119,0.0915517,0.10893,0.0194407,0.0741323,0.0719493,0.153048,0.103955,0.080718,0.0651011,0.0486776,0.188097,0.10108,0.156155,0.0794607,0.389654,0.178937,0.0918569,0.0821808,0.0900431,0.0909515,0.206091,0.0917714,0.0357361,0.223891,0.102188,0.0617139
420,0.0681661,0.290133,0.0284922,0.188359,0.128739,0.172643,0.114747,0.0981557,0.0491282,0.0523071,0.0394348,0.109864,0.0497793,0.0394694,0.0685262,0.199472,0.149415,0.0311757,0.133293,0.0646942,0.103334,0.134191,0.189038,0.0475566,0.0781464,0.087619,0.0866414,0.0319133,0.0796326,0.0977519,0.132818,0.105702,0.0741882,0.0788534,0.0631673,0.100808,0.056783,0.0538717,0.112283,0.0689992,0.171347,0.185219,0.119085,0.0413401,0.0283793,0.104599,0.0976908,0.0558645,0.0516062,0.0536479,0.0931814,0.0733409,0.0667013,0.0485524,0.0638112,0.0899719,0.0799286,0.169691,0.176188,0.0935883,0.0617503,0.195052,0.0364471,0.0946187,0.119379,0.0954712,0.0739553,0.662831,0.0803538,0.0766988,0.113656,0.0516703,0.111193,0.0434194,0.125379,0.0424255,0.0803039,0.0895498,0.0907491,0.066155,0.124101,0.184667,0.0731242,0.152669,0.0628581,0.0425954,0.0629435,0.0424825,0.0723918,0.0462575,0.0403707,0.0736308,0.0706787,0.101211,0.136396,0.0644379,0.0346446,0.0910349,0.137292,0.0863403,0.0973421,0.0741887
450,0.0538493,0.221847,0.0980825,0.082313,0.196612,0.0570343,0.0661814,0.084137,0.0925751,0.0532918,0.0548472,0.212013,0.0242869,0.131638,0.0575226,0.150136,0.0768117,0.0728872,0.242647,0.101208,0.147457,0.227174,0.182707,0.0997101,0.164271,0.145215,0.0963521,0.049644,0.0918701,0.163865,0.0866659,0.17755,0.0725301,0.0747569,0.0970276,0.136212,0.152926,0.327646,0.101109,0.0557933,0.0993225,0.238986,0.121685,0.077179,0.109359,0.0597595,0.152163,0.115795,0.0897685,0.0424408,0.0739665,0.107883,0.0571177,0.0690582,0.124139,0.433829,0.128639,0.0496684,0.0861989,0.0512675,0.11963,0.386648,0.0964803,0.0258952,0.0635529,0.0996562,0.061674,0.100876,0.0979238,0.0649567,0.04947,0.285417,0.055011,0.108872,0.131788,0.0499593,0.0375916,0.182247,0.217304,0.0894562,0.143058,0.156547,0.0295603,0.109904,0.0538859,0.0759969,0.137692,0.112676,0.0719716,0.0356832,0.10894,0.222163,0.0739227,0.138565,0.0440033,0.120767,0.0474762,0.0660868,0.251239,0.106892,0.115001,0.0736094
480,0.13952,0.0663503,0.12809,0.121074,0.0827596,0.121629,0.122717,0.0249013,0.121233,0.308646,0.216815,0.0710449,0.0812144,0.0704722,0.041037,0.0279938,0.0966858,0.12735,0.0778086,0.0612651,0.133922,0.0404785,0.0562195,0.0664652,0.0495249,0.185071,0.0523417,0.101982,0.0910624,0.0492981,0.069398,0.172121,0.418106,0.139632,0.300114,0.0556427,0.131399,0.0975993,0.084198,0.206441,0.121267,0.177154,0.091806,0.0089386,0.0397237,0.0489878,0.100511,0.141071,0.0986847,0.080012,0.0895996,0.0723857,0.159252,0.0612061,0.104003,0.0667948,0.101875,0.113926,0.111619,0.132293,0.181962,0.0652334,0.161381,0.148349,0.0308146,0.212701,0.141354,0.223592,0.087088,0.0599101,0.0931661,0.0759674,0.18562,0.042631,0.151537,0.0351054,0.0560282,0.245347,0.115063,0.0759776,0.129921,0.120287,0.182407,0.0614675,0.0379456,0.238818,0.163028,0.10939,0.0559875,0.0893809,0.0406616,0.0873372,0.0734243,0.0892873,0.0134867,0.242606,0.176373,0.0751455,0.257961,0.223913,0.113884,0.0703689
510,0.0879089,0.108867,0.106856,0.0289815,0.11778,0.0739787,0.0245046,0.210446,0.0336232,0.0833872,0.04782,0.120748,0.139591,0.131186,0.185843,0.0854787,0.0601583,0.0250671,0.125851,0.0498037,0.115879,0.0444356,0.0813985,0.0853231,0.0544963,0.0630035,0.109017,0.0773224,0.0283407,0.0902852,0.086495,0.03473,0.0487305,0.0426666,0.109188,0.177234,0.138883,0.074113,0.0458944,0.0826701,0.0875326,0.0931437,0.116175,0.0328166,0.051119,0.164789,0.101253,0.0317078,0.100882,0.0477743,0.084907,0.217267,0.140194,0.136424,0.0951263,0.0980275,0.131647,0.121675,0.193381,0.0543691,0.145142,0.0670837,0.0125834,0.0476837,0.113365,0.111223,0.096934,0.0444824,0.531397,0.274521,0.0553813,0.0960673,0.235523,0.0839732,0.0635295,0.0414327,0.0298706,0.120593,0.102822,0.063971,0.117029,0.0575948,0.101939,0.201263,0.0841085,0.0955037,0.0486287,0.120465,0.142122,0.131112,0.0879089,0.184941,0.211445,0.1597,0.029483,0.15503,0.02347,0.0701009,0.293397,0.139303,0.103303,0.0707523
540,0.171513,0.125618,0.10399,0.223838,0.0773763,0.100745,0.0851074,0.110748,0.070754,0.0400289,0.0965556,0.199052,0.191447,0.14091,0.0678955,0.0747294,0.0717773,0.0756327,0.0763224,0.0343526,0.0363444,0.0541952,0.0460327,0.0485901,0.109827,0.124146,0.112893,0.229051,0.0735535,0.208799,0.143398,0.0471802,0.0886312,0.054777,0.0695821,0.091628,0.0410929,0.144853,0.0620056,0.101172,0.109214,0.0810771,0.125934,0.0629761,0.0306783,0.0531148,0.0405985,0.149668,0.0326375,0.18855,0.0794312,0.116364,0.107808,0.139901,0.113416,0.255463,0.0380473,0.0890645,0.088269,0.182062,0.150195,0.124795,0.163,0.218815,0.0200602,0.0735372,0.173157,0.102488,0.789925,0.0436035,0.350305,0.124225,0.200633,0.0317322,0.110126,0.11062,0.0413025,0.0717855,0.116333,0.0439616,0.0250997,0.141768,0.0378581,0.193677,0.0653687,0.128505,0.0924764,0.132131,0.107825,0.0717082,0.170634,0.102657,0.160472,0.174174,0.122599,0.168398,0.0482198,0.0563538,0.0493856,0.0793559,0.112997,0.090388
570,0.10861,0.159526,0.121037,0.074058,0.216081,0.0696981,0.0889486,0.0931274,0.083783,0.0711406,0.11488,0.111788,0.113786,0.0910319,0.0608297,0.167763,0.0519348,0.168884,0.129244,0.0655599,0.185465,0.208722,0.151062,0.0595581,0.0934428,0.0984253,0.0800049,0.0510966,0.0574158,0.135773,0.0657145,0.0571777,0.10826,0.108565,0.236348,0.0764852,0.129881,0.0677043,0.167438,0.0450195,0.139709,0.0910115,0.0661377,0.074408,0.0835978,0.0573568,0.0269674,0.0784444,0.052301,0.0573547,0.240615,0.102561,0.153648,0.072522,0.0522624,0.190436,0.0690877,0.0520671,0.0603963,0.186294,0.151611,0.061851,0.207599,0.0656515,0.0609538,0.110801,0.0512309,0.12583,0.0829285,0.1665,0.348977,0.0611918,0.0601908,0.129983,0.186684,0.052533,0.292851,0.0908305,0.0786092,0.0878601,0.059377,0.152439,0.171777,0.0640299,0.0798665,0.0696676,0.0755961,0.107701,0.10708,0.0593974,0.0674947,0.0774068,0.162579,0.0819234,0.116506,0.0887716,0.0366191,0.0555786,0.0839945,0.0171102,0.10462,0.0577823
