Statistic Type, Time (min), Rep 0, Rep 1, Rep 2, Rep 3, Rep 4, Rep 5, Rep 6, Rep 7, Rep 8, Rep 9, Rep 10, Rep 11, Rep 12, Rep 13, Rep 14, Rep 15, Rep 16, Rep 17, Rep 18, Rep 19, Rep 20, Rep 21, Rep 22, Rep 23, Rep 24, Rep 25, Rep 26, Rep 27, Rep 28, Rep 29, Rep 30, Rep 31, Rep 32, Rep 33, Rep 34, Rep 35, Rep 36, Rep 37, Rep 38, Rep 39, Rep 40, Rep 41, Rep 42, Rep 43, Rep 44, Rep 45, Rep 46, Rep 47, Rep 48, Rep 49, Rep 50, Rep 51, Rep 52, Rep 53, Rep 54, Rep 55, Rep 56, Rep 57, Rep 58, Rep 59, Rep 60, Rep 61, Rep 62, Rep 63, Rep 64, Rep 65, Rep 66, Rep 67, Rep 68, Rep 69, Rep 70, Rep 71, Rep 72, Rep 73, Rep 74, Rep 75, Rep 76, Rep 77, Rep 78, Rep 79, Rep 80, Rep 81, Rep 82, Rep 83, Rep 84, Rep 85, Rep 86, Rep 87, Rep 88, Rep 89, Rep 90, Rep 91, Rep 92, Rep 93, Rep 94, Rep 95, Rep 96, Rep 97, Rep 98, Rep 99, Mean, Std Dev
, 630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
, 660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
, 690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 


Avg Service Time, 0, 25.3559, 20.6774, 22.2693, 18.8252, 19.4806, 22.3513, 17.6485, 17.6905, 23.1373, 20.0055, 22.5179, 18.2814, 21.592, 20.4156, 23.1251, 15.8435, 17.668, 18.0875, 19.7617, 16.7275, 19.3953, 18.9455, 23.1314, 20.7742, 20.7296, 23.2139, 17.7639, 16.673, 16.3536, 23.9421, 20.0892, 18.8653, 23.006, 21.2868, 21.8535, 18.2098, 21.9029, 20.0635, 16.6752, 14.7569, 23.2807, 20.2652, 18.626, 23.1006, 18.5278, 21.9235, 20.2726, 18.2475, 17.2944, 20.6448, 19.7207, 24.3913, 21.4598, 20.78, 19.8656, 20.8514, 17.8196, 21.1156, 20.8089, 20.5141, 22.8536, 22.619, 19.4684, 17.3604, 19.3093, 17.3044, 22.301, 18.9209, 20.3812, 19.7234, 20.5133, 22.2293, 16.4794, 22.3412, 21.5202, 18.3906, 21.1711, 19.4949, 18.1011, 22.8886, 20.5369, 19.5415, 16.2078, 24.2139, 15.0812, 24.0204, 21.1771, 18.3426, 17.9011, 17.0164, 18.6195, 18.4372, 23.6418, 21.7639, 21.9855, 20.9756, 15.5359, 20.375, 19.6297, 19.4555, 20.0643, 2.31982, 
, 1, 16.4953, 4.27353, 0, 10.0887, 35.2331, 24.2898, 1.82413, 3.65665, 5.50325, 47.651, 0, 0, 12.4642, 6.23761, 6.26837, 4.22906, 27.2168, 1.39882, 4.60999, 2.89441, 0, 13.8378, 8.93646, 1.64565, 4.6433, 18.8367, 3.96972, 18.1071, 8.31812, 5.65414, 1.73056, 0, 10.4486, 1.01175, 49.6921, 6.42556, 1.48251, 0, 0.434753, 4.97939, 0.207268, 11.7298, 0.794006, 2.83968, 11.7246, 6.11053, 4.57736, 11.6817, 5.08076, 16.2655, 17.6676, 9.91138, 3.33673, 3.72826, 12.674, 26.028, 8.10042, 42.5753, 5.85519, 14.9576, 14.6101, 23.3917, 11.3402, 0, 1.8779, 4.51471, 9.44861, 19.0219, 36.4713, 4.87116, 20.9842, 30.2789, 35.7027, 0, 0.994263, 0, 6.24609, 27.832, 75.5307, 8.40588, 8.16147, 3.01801, 0.858551, 2.95404, 10.1941, 3.59473, 0, 11.0188, 15.5526, 8.84522, 24.5191, 13.8952, 3.61902, 0.541382, 1.97205, 13.5106, 10.8775, 0.564812, 13.944, 10.533, 10.8003, 12.6439, 
, 2, 34.2644, 54.1875, 54.5834, 53.9088, 54.1633, 39.7343, 40.6533, 37.7747, 48.0121, 59.8363, 54.1407, 43.0936, 47.7158, 41.2726, 45.7546, 37.3448, 44.0602, 46.0221, 36.8295, 33.7646, 39.8878, 42.6727, 43.4291, 35.983, 44.3122, 39.3474, 35.6713, 47.5131, 36.1219, 45.2484, 44.3333, 34.3314, 34.1988, 38.0011, 36.5064, 41.8388, 50.61, 46.2266, 34.5986, 51.3058, 48.7801, 36.6191, 55.4195, 41.7251, 38.3742, 40.381, 44.7318, 46.3809, 40.8675, 48.3737, 54.292, 46.8252, 37.1003, 46.3456, 51.4139, 38.6826, 42.4694, 35.0124, 63.3886, 45.0624, 35.2133, 40.1033, 42.7232, 45.7138, 37.446, 46.7257, 42.2245, 46.0169, 47.1486, 56.9477, 40.5848, 31.7833, 52.003, 32.4225, 40.3034, 42.2164, 37.1917, 61.6247, 45.8942, 46.0653, 36.9947, 65.9374, 53.0641, 43.4498, 43.6713, 42.5194, 64.9361, 40.4488, 43.7337, 37.7836, 52.1121, 57.1581, 45.0652, 44.8857, 58.7538, 30.6595, 49.8329, 56.7709, 52.1453, 61.9648, 44.8374, 7.93928, 
, 3, 1.21336, 0.377197, 0.288193, 0, 0.877197, 0, 1.23718, 2.59344, 2.37633, 2.87372, 0, 1.51135, 1.07793, 0.235596, 0.911346, 0, 1.29851, 0, 1.73334, 0, 0, 0, 0.924469, 1.18015, 0.409912, 0.282837, 0.781677, 0.930496, 1.53265, 0.251038, 0, 0.444313, 1.7795, 0.894653, 0, 1.06201, 1.59221, 0, 0, 0, 1.24646, 1.00378, 0, 1.77453, 0.47699, 2.46484, 0.74559, 0.83194, 0.776184, 0.953186, 0.530945, 0.654617, 0, 0, 0.693298, 0, 0.768585, 0, 0.25119, 0.741562, 1.50702, 1.1087, 0.916016, 0.906372, 1.54353, 0.753296, 0.394257, 0, 1.2757, 0, 1.30133, 1.91249, 2.47736, 0.411194, 0.887329, 0.84594, 0.315247, 0.839439, 1.53549, 1.24838, 1.01727, 1.38068, 0.245682, 0.800537, 0, 0, 3.13227, 0.772583, 1.95559, 3.91028, 1.36508, 0.451538, 0.305809, 0.508224, 0.465637, 0.695801, 0.227753, 1.59473, 1.36212, 0, 0.84955, 0.787315, 
, 4, 7.11095, 7.18374, 6.56859, 6.2336, 5.60753, 6.83692, 5.71558, 6.74667, 6.78332, 8.5549, 8.92719, 6.94954, 7.51677, 7.00262, 5.38338, 4.29915, 5.69427, 5.68039, 6.95649, 6.16924, 4.63904, 7.53836, 6.75388, 5.23045, 6.0135, 6.32772, 5.76347, 6.50421, 4.94572, 7.92778, 6.68959, 7.09726, 8.79351, 7.00822, 5.26828, 9.2648, 6.22058, 5.2972, 8.69787, 5.40704, 6.11893, 7.82084, 5.52189, 4.84902, 6.31041, 6.36917, 6.44345, 7.94138, 7.27522, 6.37032, 7.53872, 8.67404, 7.15248, 6.01881, 9.70518, 5.98014, 5.85647, 6.2291, 8.11196, 7.44998, 7.14195, 6.66378, 7.01436, 9.19455, 6.23931, 6.32875, 6.00539, 8.06547, 6.13873, 5.99305, 8.70712, 6.24733, 4.78247, 5.59787, 7.935, 5.91397, 5.96208, 9.62822, 8.7782, 8.52409, 6.13791, 6.31855, 9.88139, 8.18266, 8.86781, 4.89985, 6.64058, 6.6629, 7.12102, 6.543, 9.38742, 7.95241, 6.50937, 8.30023, 6.62302, 4.72019, 5.52005, 6.7326, 8.4194, 6.52026, 6.83849, 1.27163, 
