 Time (min), Rep 0, Rep 1, Rep 2, Rep 3, Rep 4, Rep 5, Rep 6, Rep 7, Rep 8, Rep 9, Rep 10, Rep 11, Rep 12, Rep 13, Rep 14, Rep 15, Rep 16, Rep 17, Rep 18, Rep 19, Rep 20, Rep 21, Rep 22, Rep 23, Rep 24, Rep 25, Rep 26, Rep 27, Rep 28, Rep 29, Rep 30, Rep 31, Rep 32, Rep 33, Rep 34, Rep 35, Rep 36, Rep 37, Rep 38, Rep 39, Rep 40, Rep 41, Rep 42, Rep 43, Rep 44, Rep 45, Rep 46, Rep 47, Rep 48, Rep 49, Rep 50, Rep 51, Rep 52, Rep 53, Rep 54, Rep 55, Rep 56, Rep 57, Rep 58, Rep 59, Rep 60, Rep 61, Rep 62, Rep 63, Rep 64, Rep 65, Rep 66, Rep 67, Rep 68, Rep 69, Rep 70, Rep 71, Rep 72, Rep 73, Rep 74, Rep 75, Rep 76, Rep 77, Rep 78, Rep 79, Rep 80, Rep 81, Rep 82, Rep 83, Rep 84, Rep 85, Rep 86, Rep 87, Rep 88, Rep 89, Rep 90, Rep 91, Rep 92, Rep 93, Rep 94, Rep 95, Rep 96, Rep 97, Rep 98, Rep 99, Mean, Std Dev
300,0.130622,0.051593,0.0843058,0.0690786,0.0984792,0.0905752,0.0995422,0.0744527,0.105141,0.0333466,0.0544902,0.0481201,0.0243612,0.08791,0.0137472,0.103423,0.0724182,0.0609161,0.0239736,0.0587992,0.0719147,0.0430389,0.0564494,0.0215688,0.0784475,0.0859497,0.0868317,0.132025,0.0657745,0.0519521,0.0273326,0.0513763,0.0545258,0.073229,0.0579163,0.0291514,0.0722656,0.044515,0.0444519,0.104391,0.134821,0.13926,0.0385518,0.0296621,0.0512044,0.1018,0.0560364,0.069281,0.0891937,0.0213003,0.0601969,0.0535522,0.0819356,0.0661051,0.0622894,0.104288,0.0510508,0.0421366,0.107719,0.0620972,0.0382904,0.0686778,0.0845215,0.0852631,0.0651194,0.0982279,0.0200775,0.0562307,0.106315,0.0603536,0.0381185,0.0766541,0.0279643,0.0951762,0.0285736,0.042511,0.0450216,0.044337,0.0497203,0.0333089,0.0854777,0.0327423,0.0368195,0.0643138,0.0532216,0.0806722,0.111686,0.0399679,0.151061,0.0535085,0.0812663,0.0467051,0.0756999,0.0277995,0.0955821,0.0837219,0.088386,0.0363749,0.0608287,0.0836426,0.0661483,0.0293527
330,0.0533213,0.0327393,0.0626892,0.0442139,0.0230082,0.0992859,0.020048,0.0467651,0.0701894,0.0352234,0.0715403,0.0275289,0.0939585,0.0675883,0.0670003,0.0912191,0.0373372,0.0905752,0.0778697,0.0917165,0.0417938,0.110752,0.0588165,0.0485769,0.0642405,0.0439819,0.0471771,0.0607564,0.142889,0.0669037,0.036736,0.082368,0.0644572,0.0568461,0.0431793,0.0234558,0.0513306,0.0345734,0.0573222,0.0506846,0.0664347,0.0538137,0.0702148,0.0260152,0.0493866,0.0861511,0.0690928,0.0676392,0.101995,0.0962443,0.0486959,0.0498688,0.0720673,0.0779114,0.0800608,0.0198425,0.0737467,0.0521495,0.0837351,0.0998261,0.0716146,0.101135,0.0828837,0.0427653,0.106209,0.0743886,0.0352295,0.0160919,0.0323995,0.0874125,0.0582611,0.0304962,0.0572337,0.0551392,0.115228,0.0516551,0.0421946,0.0831767,0.048586,0.180404,0.0778361,0.0553314,0.0302236,0.0401347,0.0474945,0.0803487,0.0482157,0.0392771,0.128399,0.0557933,0.0526194,0.109604,0.0508586,0.0587402,0.114808,0.0545715,0.0366699,0.0356476,0.0617655,0.0489187,0.0633531,0.0282106
360,0.0815755,0.103045,0.0357768,0.056484,0.0733754,0.0856781,0.0395396,0.0434743,0.0445526,0.122295,0.0705261,0.0637716,0.0345886,0.0682465,0.0190684,0.028301,0.0627472,0.0813711,0.0448741,0.0339986,0.0204936,0.067333,0.0272512,0.12137,0.0407064,0.108394,0.0671427,0.0173309,0.0598867,0.0313548,0.0908325,0.104541,0.00354309,0.0840027,0.070164,0.084846,0.0644002,0.0611766,0.0653727,0.0288096,0.054302,0.0857412,0.0711619,0.0413076,0.0148193,0.0552053,0.0396149,0.0632996,0.109379,0.119651,0.0574117,0.0423798,0.0456462,0.018458,0.0678507,0.077242,0.0790904,0.0541595,0.0286753,0.0849579,0.0579437,0.112209,0.0598857,0.040388,0.0468252,0.0213267,0.0458171,0.0855235,0.100693,0.0612122,0.0300903,0.0386373,0.0620494,0.0389242,0.0840474,0.0700958,0.090328,0.0395284,0.0988556,0.0487762,0.045459,0.0937683,0.0833221,0.0482981,0.012618,0.0717366,0.0500519,0.0712118,0.12493,0.0672109,0.107944,0.0981852,0.060965,0.157915,0.0278697,0.0888072,0.069872,0.0670359,0.04646,0.0451752,0.0629459,0.0292271
390,0.0535624,0.103471,0.0268443,0.0422882,0.070285,0.0548177,0.0358276,0.0759471,0.0586843,0.0602773,0.0282094,0.0867879,0.0339488,0.0946523,0.115287,0.168004,0.0436656,0.0452393,0.0820557,0.0950317,0.038501,0.0101766,0.0851227,0.0631012,0.072288,0.0392456,0.0756287,0.133594,0.049291,0.143969,0.0858114,0.0773275,0.053362,0.0561208,0.0891134,0.068514,0.0302572,0.0515615,0.0581818,0.0983144,0.101669,0.0406067,0.0589864,0.0492655,0.0440755,0.056842,0.0521922,0.0278503,0.0496857,0.037734,0.103377,0.0483327,0.0517141,0.0641205,0.0365448,0.0671509,0.139442,0.0623403,0.0283905,0.0745351,0.0684672,0.0797211,0.0395955,0.108624,0.0722219,0.179526,0.0506398,0.0480835,0.0737142,0.0324087,0.0305532,0.0347626,0.0616119,0.0339956,0.0657735,0.0295563,0.0504415,0.049235,0.0389679,0.0181905,0.0637858,0.0980164,0.0403188,0.0383362,0.0293884,0.0758942,0.0616323,0.0998199,0.103122,0.0384328,0.0435191,0.022581,0.03974,0.100651,0.0969706,0.0279399,0.0848328,0.0660746,0.0380605,0.0368235,0.0632126,0.0316573
420,0.0655935,0.056367,0.0561025,0.0363942,0.0458313,0.0878601,0.082196,0.0713715,0.0754466,0.176113,0.0973358,0.048646,0.0843923,0.0610687,0.0474314,0.0564097,0.100908,0.028657,0.0254567,0.0575511,0.0374329,0.116909,0.103836,0.0269602,0.078771,0.025651,0.0308166,0.0205139,0.0574402,0.0978984,0.100657,0.135872,0.0910268,0.0737,0.0547953,0.0787801,0.116521,0.0112376,0.0874746,0.0637502,0.0210988,0.0458923,0.0917155,0.0574544,0.0652018,0.0292145,0.00601807,0.0591502,0.10321,0.0965535,0.0491323,0.109008,0.0481466,0.0869344,0.0402476,0.0466237,0.0556396,0.0226095,0.0562459,0.0269653,0.140498,0.0465546,0.0431325,0.0543193,0.032606,0.0240204,0.0519613,0.041866,0.0743632,0.0784719,0.0614899,0.0926371,0.0636495,0.0581838,0.102031,0.103055,0.0562236,0.119821,0.0931692,0.0669902,0.105036,0.0446218,0.0724202,0.106757,0.0252899,0.0380046,0.0857168,0.026708,0.0811808,0.0549276,0.0433746,0.0634562,0.0959106,0.0328766,0.037088,0.0402507,0.016217,0.0977712,0.0708628,0.0395355,0.0647129,0.0315652
450,0.0608592,0.0645548,0.0869364,0.0475759,0.0913289,0.0896728,0.100444,0.0498311,0.0423798,0.102904,0.108895,0.0635295,0.0322591,0.143181,0.0164357,0.0801799,0.0375885,0.11004,0.122221,0.0144755,0.0315613,0.0546183,0.0215576,0.0598735,0.0938436,0.060673,0.0670756,0.0469666,0.027832,0.0487132,0.0385763,0.0862508,0.0645691,0.11516,0.0788076,0.0688049,0.0254496,0.0699961,0.026121,0.129472,0.0353139,0.0292725,0.0464162,0.0932648,0.0528178,0.132419,0.0520213,0.0604055,0.0793416,0.0634257,0.0567179,0.0440216,0.125197,0.0548482,0.014917,0.0478353,0.0244181,0.0802012,0.0355133,0.0243673,0.055073,0.0773834,0.167824,0.0254598,0.0789266,0.054304,0.0393687,0.0884206,0.051062,0.0589986,0.0797811,0.0562887,0.0718648,0.0721252,0.0628723,0.0799886,0.0303955,0.0701447,0.0380463,0.0649943,0.113036,0.0828725,0.12633,0.0803121,0.0830495,0.0435801,0.0341919,0.0224833,0.057134,0.0618764,0.0913778,0.0542114,0.0129364,0.0620331,0.0565074,0.0218068,0.101506,0.0808818,0.0572835,0.104375,0.0650506,0.0315231
480,0.0629812,0.047993,0.0596344,0.0414805,0.077652,0.0933075,0.0768473,0.0492757,0.0334229,0.08249,0.0349935,0.0343882,0.167999,0.0529663,0.0251882,0.151262,0.0161499,0.0182576,0.120373,0.0618022,0.0497681,0.0520223,0.0334524,0.0502991,0.00518595,0.0542399,0.0688263,0.0899068,0.0515269,0.112166,0.0659861,0.131123,0.071642,0.124341,0.103115,0.0380351,0.0566182,0.039683,0.0528839,0.0769755,0.0703756,0.0253896,0.0524445,0.101284,0.101325,0.0334544,0.0443349,0.0652863,0.0445424,0.0691651,0.105929,0.0498779,0.119795,0.0622152,0.0439941,0.055191,0.0960134,0.0615295,0.0714152,0.106341,0.0337331,0.0942495,0.090684,0.154345,0.0776906,0.0358348,0.0356405,0.0737254,0.0459147,0.0647451,0.0914419,0.0277598,0.0459737,0.0793803,0.0642242,0.0792318,0.0965515,0.0639059,0.0639801,0.0419128,0.0259878,0.044752,0.0578135,0.0802307,0.0570597,0.0692739,0.0683289,0.0537537,0.0599141,0.0875905,0.0588684,0.120738,0.0679881,0.0658946,0.121054,0.0300486,0.0608215,0.105994,0.119809,0.112688,0.068457,0.0318029
510,0.090212,0.0331136,0.0615753,0.0334015,0.0615509,0.0622457,0.0194092,0.133747,0.0623596,0.0638835,0.03007,0.064681,0.0443095,0.0614787,0.0519582,0.0843892,0.0379293,0.0639028,0.0582235,0.0756165,0.0719218,0.0926737,0.0441732,0.0797099,0.076768,0.0769674,0.0295156,0.0490021,0.0954305,0.0430969,0.0450297,0.0735575,0.0718099,0.0714467,0.0200521,0.0300395,0.143153,0.0910421,0.0289469,0.194269,0.0297241,0.0835327,0.127964,0.0354045,0.0281006,0.0436564,0.0925334,0.113352,0.0661824,0.0463847,0.0654541,0.0420492,0.0574565,0.0417826,0.0251994,0.0615499,0.0317423,0.0523132,0.0599731,0.0895833,0.0595133,0.0921427,0.0804301,0.0365611,0.0285848,0.0237996,0.0587931,0.101492,0.0849793,0.0594747,0.0756032,0.0490743,0.0561625,0.0941772,0.0450521,0.0474996,0.0263346,0.0798309,0.0214762,0.106034,0.0500427,0.0210958,0.0653676,0.0134196,0.0666341,0.0486704,0.0628082,0.0725871,0.0693848,0.00951335,0.043752,0.106845,0.106793,0.0744425,0.0308553,0.00795492,0.0468801,0.0515991,0.0621745,0.0527761,0.0610721,0.0304705
540,0.0409892,0.101388,0.0510173,0.0548096,0.0902629,0.0679891,0.021519,0.0369792,0.100096,0.0944723,0.0491007,0.100112,0.0463359,0.0365031,0.0951497,0.0796855,0.0612284,0.130888,0.0671326,0.102932,0.0833659,0.0645447,0.0365906,0.144645,0.113527,0.119757,0.0315328,0.0611145,0.0439718,0.080426,0.0135783,0.0293742,0.0400879,0.127802,0.040271,0.103949,0.118347,0.0765767,0.0851501,0.0351969,0.0411601,0.0123698,0.0324219,0.0270182,0.055245,0.0690348,0.10706,0.0696167,0.046285,0.0473653,0.0502197,0.0931417,0.086086,0.0699178,0.07264,0.165065,0.0261759,0.0669515,0.095577,0.0594889,0.100885,0.0368917,0.0691589,0.029539,0.0793884,0.042572,0.0734884,0.0316996,0.0477132,0.0632548,0.0343241,0.0755107,0.0114746,0.0709412,0.113387,0.0405273,0.089093,0.053835,0.0491781,0.0408325,0.101461,0.0511922,0.0673462,0.0864787,0.121983,0.0339355,0.0498576,0.093221,0.0708639,0.0423503,0.0520894,0.0967122,0.035909,0.0810343,0.0319173,0.0251058,0.0434245,0.0411051,0.06073,0.0743998,0.0658605,0.0312924
570,0.0423828,0.0181071,0.074294,0.0609131,0.0730652,0.0763835,0.021519,0.0451152,0.123303,0.105733,0.0790894,0.0737813,0.100393,0.0689107,0.0894511,0.0533813,0.0887065,0.0750183,0.0288595,0.0554484,0.0285889,0.0229492,0.0577372,0.015568,0.0598755,0.0557292,0.0644145,0.0481018,0.0795369,0.0356893,0.0648214,0.0665202,0.0465149,0.0651916,0.0940735,0.018337,0.0536235,0.0440572,0.0508626,0.0579753,0.0364176,0.0215881,0.0898234,0.0510457,0.0631673,0.0671956,0.0746806,0.0884664,0.0660909,0.0471822,0.0758057,0.0823446,0.0482564,0.0608541,0.0869141,0.0690755,0.0801392,0.0587667,0.140458,0.0541341,0.0546326,0.0782064,0.0357422,0.0367635,0.0382121,0.0605733,0.0604899,0.108673,0.112982,0.0646729,0.0718994,0.0461894,0.146016,0.0511088,0.0824849,0.0990763,0.095636,0.0783346,0.0618062,0.0673848,0.0608744,0.0924703,0.0875265,0.0610677,0.0735067,0.0367961,0.0361796,0.0325562,0.0305542,0.022817,0.0293111,0.0606852,0.0361572,0.141709,0.089683,0.0880595,0.0525248,0.100421,0.0706116,0.0710592,0.0647188,0.0269678
